"analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","age_group","sex","cohort","database"
"1",10360972,307972576,14490,2020-09-01,2020-09-30,843182.959616701,1718.48823968015,1690.61991758722,1746.70078570122,"FALSE","FALSE","18;150","Both","COVID-19 infections","CPRD"
"1",10234155,314504656,62352,2020-10-01,2020-10-31,861066.819986311,7241.24987198918,7184.52225793031,7298.31407180377,"FALSE","FALSE","18;150","Both","COVID-19 infections","CPRD"
"1",10152171,301286933,66552,2020-11-01,2020-11-30,824878.666666667,8068.0956714442,8006.91366646587,8129.6290132511,"FALSE","FALSE","18;150","Both","COVID-19 infections","CPRD"
"1",10134792,310130193,100630,2020-12-01,2020-12-31,849090.19301848,11851.5089241891,11778.3957694145,11924.9633140652,"FALSE","FALSE","18;150","Both","COVID-19 infections","CPRD"
"1",10211611,312044190,59807,2021-01-01,2021-01-31,854330.431211499,7000.45296469067,6944.4593436474,7056.78583512695,"FALSE","FALSE","18;150","Both","COVID-19 infections","CPRD"
"1",10236239,283509470,NA,2021-02-01,2021-02-28,776206.625598905,NA,NA,NA,"FALSE","TRUE","18;150","Both","COVID-19 infections","CPRD"
"1",10252003,314637589,NA,2021-03-01,2021-03-31,861430.770704997,NA,NA,NA,"FALSE","TRUE","18;150","Both","COVID-19 infections","CPRD"
"1",10233331,304514726,NA,2021-04-01,2021-04-30,833715.882272416,NA,NA,NA,"FALSE","TRUE","18;150","Both","COVID-19 infections","CPRD"
"1",10360972,308102193,2007,2020-09-01,2020-09-30,843537.831622177,237.926495382005,227.630033128564,248.568657728722,"FALSE","FALSE","18;150","Both","Long COVID-19 (90 days)","CPRD"
"1",10241749,315557502,7453,2020-10-01,2020-10-31,863949.35523614,862.666307328038,843.19108666763,882.477848494142,"FALSE","FALSE","18;150","Both","Long COVID-19 (90 days)","CPRD"
"1",10180825,303744173,6341,2020-11-01,2020-11-30,831606.223134839,762.500306466784,743.846837710563,781.503290490951,"FALSE","FALSE","18;150","Both","Long COVID-19 (90 days)","CPRD"
"1",10151994,312735983,5514,2020-12-01,2020-12-31,856224.457221081,643.990013774654,627.103058336283,661.216538826604,"FALSE","FALSE","18;150","Both","Long COVID-19 (90 days)","CPRD"
"1",10270433,316289332,2467,2021-01-01,2021-01-31,865952.996577687,284.888441953521,273.756350988576,296.357038442602,"FALSE","FALSE","18;150","Both","Long COVID-19 (90 days)","CPRD"
"1",10236239,284780906,NA,2021-02-01,2021-02-28,779687.627652293,NA,NA,NA,"FALSE","TRUE","18;150","Both","Long COVID-19 (90 days)","CPRD"
"1",10252003,314637589,NA,2021-03-01,2021-03-31,861430.770704997,NA,NA,NA,"FALSE","TRUE","18;150","Both","Long COVID-19 (90 days)","CPRD"
"1",10233331,304514726,NA,2021-04-01,2021-04-30,833715.882272416,NA,NA,NA,"FALSE","TRUE","18;150","Both","Long COVID-19 (90 days)","CPRD"
"1",10360972,308095656,2647,2020-09-01,2020-09-30,843519.934291581,313.804083625249,301.96230950134,325.991232029109,"FALSE","FALSE","18;150","Both","Long COVID-19 (28 days)","CPRD"
"1",10241357,315504689,10223,2020-10-01,2020-10-31,863804.761122519,1183.48502579624,1160.65337786288,1206.65285904379,"FALSE","FALSE","18;150","Both","Long COVID-19 (28 days)","CPRD"
