"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","First infection",4651,302336,1.53835467823878,"Tested negative, earliest",12742,764470,1.66677567465041,"CPRD",0.922952441432429,0.892713474327343,0.95421569590169
"Allergy","First infection",1430,302336,0.472983700254022,"Tested negative, earliest",3733,764470,0.48831216398289,"CPRD",0.968609293686558,0.911464780129838,1.02933649688837
"Altered smell taste","First infection",335,302336,0.110803873835732,"Tested negative, earliest",152,764470,0.0198830562350387,"CPRD",5.57277877836858,4.60095453465439,6.74987398347938
"Anxiety","First infection",5565,302336,1.84066733700254,"Tested negative, earliest",16956,764470,2.21800724685076,"CPRD",0.829874356639733,0.805359775362796,0.855135144411666
"Blurred vision","First infection",205,302336,0.0678053556308213,"Tested negative, earliest",558,764470,0.0729917459154708,"CPRD",0.928945523639677,0.791581733140194,1.0901461589657
"Chest pain","First infection",2028,302336,0.670776883996613,"Tested negative, earliest",4456,764470,0.582887490679817,"CPRD",1.15078277493019,1.09210941739586,1.21260834672941
"Cognitive dysfunction brain fog","First infection",121,302336,0.0400216977138019,"Tested negative, earliest",315,764470,0.0412050178555077,"CPRD",0.971282134960956,0.787634492095855,1.19774971152419
"Cough","First infection",3483,302336,1.15202953005927,"Tested negative, earliest",9871,764470,1.29122136905307,"CPRD",0.892201413073054,0.858592668078263,0.927125738531225
"Depression","First infection",4266,302336,1.41101291278577,"Tested negative, earliest",14261,764470,1.8654754274203,"CPRD",0.756382470680416,0.731139496604943,0.782496971657573
"Dizziness","First infection",1443,302336,0.477283552074513,"Tested negative, earliest",3815,764470,0.499038549583372,"CPRD",0.956406178386378,0.900325524620933,1.01598005725847
"Dyspnea","First infection",3747,302336,1.23934959779848,"Tested negative, earliest",7547,764470,0.987219903985768,"CPRD",1.25539364917053,1.20744570563949,1.30524561644204
"Fatigue malaise","First infection",3432,302336,1.13516088060965,"Tested negative, earliest",6338,764470,0.829071121168914,"CPRD",1.36919602145734,1.31376846719465,1.42696205000089
"Gastrointestinal issues","First infection",2666,302336,0.881800381033023,"Tested negative, earliest",7239,764470,0.946930553193716,"CPRD",0.931219695107494,0.890954169005739,0.97330496979863
"Headache","First infection",3651,302336,1.20759684589331,"Tested negative, earliest",10076,764470,1.31803733305427,"CPRD",0.916208377113993,0.882375985507064,0.95133798299312
"Intermittent fever","First infection",417,302336,0.137926016088061,"Tested negative, earliest",1034,764470,0.13525710623046,"CPRD",1.01973212300619,0.910209753180954,1.1424329381845
"Joint pain","First infection",6161,302336,2.03779900508044,"Tested negative, earliest",16375,764470,2.14200688058393,"CPRD",0.951350354451203,0.924167370905451,0.979332884288797
"Memory issues","First infection",188,302336,0.0621824724809483,"Tested negative, earliest",413,764470,0.0540243567438879,"CPRD",1.15100810502447,0.968750896640754,1.36755451006649
"Menstrual problems","First infection",1156,302336,0.382356054191363,"Tested negative, earliest",3120,764470,0.408125891140267,"CPRD",0.936858117780998,0.875835077681246,1.00213288462464
"Muscle spams pain","First infection",95,302336,0.0314219940728196,"Tested negative, earliest",294,764470,0.0384580166651406,"CPRD",0.817046660164913,0.648348432248608,1.02963963770435
"Neuralgia","First infection",844,302336,0.279159610499577,"Tested negative, earliest",2333,764470,0.305178751291745,"CPRD",0.91474130920965,0.845582885253058,0.989556053424815
"Pins sensation","First infection",407,302336,0.134618437764606,"Tested negative, earliest",925,764470,0.12099886195665,"CPRD",1.11255953640982,0.990205431996803,1.25003224791483
"Sleep disorder","First infection",1467,302336,0.485221740050804,"Tested negative, earliest",4069,764470,0.532264183028765,"CPRD",0.911618244326956,0.858925335578481,0.967543730480434
"Tachycardia","First infection",1366,302336,0.451815198983912,"Tested negative, earliest",3040,764470,0.397661124700773,"CPRD",1.13618146436589,1.06606021613327,1.21091501252237
"Tinnitus and hearing problems","First infection",1104,302336,0.365156646909399,"Tested negative, earliest",2819,764470,0.368752207411671,"CPRD",0.990249385820603,0.923802040404438,1.06147616397208
