"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","New infections",4664,303652,1.5359688063968,"Tested negative, all",15250,835029,1.82628387756593,"CPRD",0.84103507963063,0.814115323322753,0.868844971842984
"Allergy","New infections",1437,303652,0.473239102656989,"Tested negative, all",4515,835029,0.540699784079355,"CPRD",0.875234495354513,0.824909301402308,0.928629875498125
"Altered smell taste","New infections",336,303652,0.110652984337334,"Tested negative, all",181,835029,0.0216758938911104,"CPRD",5.10488678774692,4.26113295201679,6.1157136867506
"Anxiety","New infections",5576,303652,1.8363126210267,"Tested negative, all",20378,835029,2.44039428570744,"CPRD",0.752465546973847,0.730717026352826,0.774861374462158
"Blurred vision","New infections",205,303652,0.0675114934200993,"Tested negative, all",657,835029,0.0786799021351354,"CPRD",0.858052585069895,0.733569124280966,1.00366034280245
"Chest pain","New infections",2034,303652,0.669845744470644,"Tested negative, all",5268,835029,0.630876292919168,"CPRD",1.06177035337809,1.0089818955901,1.11732062610826
"Cognitive dysfunction brain fog","New infections",123,303652,0.0405068960520596,"Tested negative, all",397,835029,0.0475432589766343,"CPRD",0.8520008288024,0.696016870831468,1.04294226577124
"Cough","New infections",3504,303652,1.15395255094648,"Tested negative, all",11925,835029,1.42809411409664,"CPRD",0.808036767014077,0.778349057273049,0.838856822328639
"Depression","New infections",4277,303652,1.40852027979397,"Tested negative, all",17030,835029,2.03945012688182,"CPRD",0.690637275816843,0.66804189086827,0.713996911372979
"Dizziness","New infections",1445,303652,0.475873697522164,"Tested negative, all",4624,835029,0.553753222941958,"CPRD",0.859360592059331,0.810187132668363,0.911518583061547
"Dyspnea","New infections",3771,303652,1.24188215457168,"Tested negative, all",8900,835029,1.06583124657946,"CPRD",1.16517709398858,1.12189288944234,1.21013126398414
"Fatigue malaise","New infections",3440,303652,1.13287579202508,"Tested negative, all",7748,835029,0.927871966123332,"CPRD",1.22093977767025,1.17313572021912,1.27069180062052
"Gastrointestinal issues","New infections",2683,303652,0.883577252907934,"Tested negative, all",8654,835029,1.03637119189872,"CPRD",0.852568326691079,0.816595572209399,0.890125756756411
"Headache","New infections",3669,303652,1.2082910700407,"Tested negative, all",12247,835029,1.46665564908524,"CPRD",0.823841009165526,0.794191717094843,0.854597188277927
"Intermittent fever","New infections",422,303652,0.138974879137961,"Tested negative, all",1305,835029,0.156281997391707,"CPRD",0.889257121468905,0.79688302308793,0.992339157909135
"Joint pain","New infections",6191,303652,2.038847101287,"Tested negative, all",19495,835029,2.33464945528838,"CPRD",0.87329902854095,0.848940129433623,0.898356864999863
"Memory issues","New infections",192,303652,0.0632302767641906,"Tested negative, all",486,835029,0.0582015714424289,"CPRD",1.0864015386034,0.91929719370007,1.28388111175385
"Menstrual problems","New infections",1161,303652,0.382345579808465,"Tested negative, all",3707,835029,0.443936677648321,"CPRD",0.861261524580207,0.806426219942,0.919825515811691
"Muscle spams pain","New infections",96,303652,0.0316151383820953,"Tested negative, all",327,835029,0.0391603165878071,"CPRD",0.807325914008032,0.643068350198406,1.01353943360424
"Neuralgia","New infections",849,303652,0.279596380066655,"Tested negative, all",2753,835029,0.32968914852059,"CPRD",0.848060608974497,0.785344423783217,0.915785195277228
"Pins sensation","New infections",407,303652,0.134035013765758,"Tested negative, all",1112,835029,0.133169027662512,"CPRD",1.00650290926086,0.898535016298339,1.12744421527831
"Sleep disorder","New infections",1472,303652,0.484765455192128,"Tested negative, all",4733,835029,0.56680666180456,"CPRD",0.855257158849836,0.806785472356271,0.906641025188024
"Tachycardia","New infections",1367,303652,0.450186397586711,"Tested negative, all",3706,835029,0.443816921328481,"CPRD",1.01435158497149,0.953483767633805,1.07910503866001
"Tinnitus and hearing problems","New infections",1112,303652,0.36620868625927,"Tested negative, all",3292,835029,0.39423780491456,"CPRD",0.928903016641532,0.867963829713348,0.994120705019131
