"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","New infections",2647,303010,0.873568529091449,"Tested negative, earliest",7515,765331,0.981928080791187,"CPRD",0.889646142299518,0.851266084442726,0.929756597816938
"Allergy","New infections",932,303010,0.307580607900729,"Tested negative, earliest",2463,765331,0.321821538654517,"CPRD",0.955748981832209,0.88646150960855,1.03045209111975
"Altered smell taste","New infections",201,303010,0.0663344444077753,"Tested negative, earliest",85,765331,0.0111063056376914,"CPRD",5.97268313800554,4.63504601650058,7.69635160902857
"Anxiety","New infections",3414,303010,1.12669548859774,"Tested negative, earliest",10990,765331,1.43597998774387,"CPRD",0.784617820731569,0.75523231003896,0.815146699136585
"Blurred vision","New infections",115,303010,0.037952542820369,"Tested negative, earliest",327,765331,0.0427266111002952,"CPRD",0.888264756857976,0.718253453395671,1.09851790415452
"Chest pain","New infections",1007,303010,0.33233226626184,"Tested negative, earliest",2611,765331,0.341159576706027,"CPRD",0.974125567485408,0.905925464572988,1.0474599272646
"Cognitive dysfunction brain fog","New infections",73,303010,0.0240916141381473,"Tested negative, earliest",178,765331,0.0232579106295185,"CPRD",1.03584601909901,0.788870551929464,1.36014327402502
"Cough","New infections",1681,303010,0.55476716940035,"Tested negative, earliest",5580,765331,0.729096299509624,"CPRD",0.76089697585007,0.720632456514741,0.803411229432933
"Depression","New infections",2754,303010,0.908880895019966,"Tested negative, earliest",9495,765331,1.24063967093976,"CPRD",0.732590546884177,0.702310927443077,0.764175649862086
"Dizziness","New infections",821,303010,0.270948153526286,"Tested negative, earliest",2244,765331,0.293206468835053,"CPRD",0.92408654762222,0.853182535376607,1.00088306087913
"Dyspnea","New infections",1860,303010,0.613841127355533,"Tested negative, earliest",4292,765331,0.560803103493782,"CPRD",1.094575125443,1.03678051256304,1.15559145906084
"Fatigue malaise","New infections",1887,303010,0.622751724365532,"Tested negative, earliest",3829,765331,0.500306403373181,"CPRD",1.24474066325515,1.17816812683076,1.31507488912356
"Gastrointestinal issues","New infections",1413,303010,0.466321243523316,"Tested negative, earliest",4176,765331,0.545646262858815,"CPRD",0.854621895658388,0.804712981443648,0.907626198882047
"Headache","New infections",2240,303010,0.739249529718491,"Tested negative, earliest",6291,765331,0.821997279608431,"CPRD",0.899333304449185,0.857150439110162,0.943592111241447
"Intermittent fever","New infections",209,303010,0.0689746212996271,"Tested negative, earliest",612,765331,0.0799654005913781,"CPRD",0.86255581525923,0.737252540029367,1.00915560685336
"Joint pain","New infections",3771,303010,1.24451338239662,"Tested negative, earliest",10510,765331,1.37326202649573,"CPRD",0.90624611937487,0.87335736488071,0.940373393420903
"Memory issues","New infections",111,303010,0.0366324543744431,"Tested negative, earliest",269,765331,0.0351481907828116,"CPRD",1.04222873378613,0.835516296844369,1.30008323910859
"Menstrual problems","New infections",652,303010,0.215174416685918,"Tested negative, earliest",1873,765331,0.244730711287012,"CPRD",0.879229319256008,0.804340631218383,0.961090570133709
"Muscle spams pain","New infections",61,303010,0.0201313488003696,"Tested negative, earliest",192,765331,0.0250871844992559,"CPRD",0.802455484829984,0.601628749002198,1.07031920632398
"Neuralgia","New infections",500,303010,0.165011055740735,"Tested negative, earliest",1458,765331,0.190505807291224,"CPRD",0.866173362833417,0.782580136589336,0.958695805584767
"Pins sensation","New infections",225,303010,0.0742549750833306,"Tested negative, earliest",550,765331,0.0718643305968267,"CPRD",1.03326607882728,0.884862159209812,1.20655943814855
"Sleep disorder","New infections",759,303010,0.250486782614435,"Tested negative, earliest",2269,765331,0.296473029316727,"CPRD",0.844888937087211,0.778313036897666,0.917159654498007
"Tachycardia","New infections",722,303010,0.238275964489621,"Tested negative, earliest",1848,765331,0.241464150805338,"CPRD",0.986796440361504,0.905554597362554,1.07532689640829
"Tinnitus and hearing problems","New infections",621,303010,0.204943731229992,"Tested negative, earliest",1656,765331,0.216376966306082,"CPRD",0.947160572258341,0.863797679875462,1.03856860297436
