"","COVID-19 infection","First infection","Reinfections","Tested negative, all","Tested negative, earliest"
"N","303,835","303,124","711","1,265,539","1,024,256"
"Days of follow-up (median [iqr])","151 [130.00, 188.00]","151 [130.00, 188.00]","142 [127.00, 173.00]","173 [139.00, 205.00]","176 [140.00, 208.00]"
"Age (median [iqr])","41 [29.00, 54.00]","41 [29.00, 54.00]","46 [31.00, 59.00]","40 [29.00, 53.00]","40 [29.00, 53.00]"
"Age, categories (%)","","","","",""
"   <=34","112,733 (37.1)","112,506 (37.1)","227 (31.9)","476,931 (37.7)","385,521 (37.6)"
"   35-49","90,023 (29.6)","89,852 (29.6)","171 (24.1)","383,451 (30.3)","308,102 (30.1)"
"   50-64","73,746 (24.3)","73,550 (24.3)","196 (27.6)","286,474 (22.6)","235,432 (23.0)"
"   65-79","21,014 (6.9)","20,945 (6.9)","69 (9.7)","88,615 (7.0)","75,058 (7.3)"
"   >=80","6,319 (2.1)","6,271 (2.1)","48 (6.8)","30,068 (2.4)","20,143 (2.0)"
"Sex, female (%)","166,433 (54.8)","165,962 (54.8)","471 (66.2)","737,510 (58.3)","585,794 (57.2)"
"Trimester = jan-apr 2021 (%)","59,811 (19.7)","59,623 (19.7)","188 (26.4)","131,768 (10.4)","97,727 (9.5)"
"Vaccination status (%)","","","","",""
"   Non vaccinated","302,394 (99.5)","301,705 (99.5)","689 (96.9)","1,262,881 (99.8)","1,022,635 (99.8)"
"   First dose vaccination","1,385 (0.5)","1,365 (0.5)","20 (2.8)","2,536 (0.2)","1,547 (0.2)"
"   Two doses vaccination","56 (0.0)","54 (0.0)","<5","116 (0.0)","68 (0.0)"
"   Booster doses","<5","<5","<5","6 (0.0)","6 (0.0)"
"PCR test (%)","283,986 (93.5)","283,428 (93.5)","558 (78.5)","1,155,843 (91.3)","928,768 (90.7)"
"Asthma (%)","48,279 (15.9)","48,137 (15.9)","142 (20.0)","221,698 (17.5)","176,957 (17.3)"
"Autoimmune disease (%)","6,128 (2.0)","6,113 (2.0)","15 (2.1)","27,780 (2.2)","22,070 (2.2)"
"COPD (%)","3,876 (1.3)","3,850 (1.3)","26 (3.7)","20,410 (1.6)","16,644 (1.6)"
"Dementia (%)","2,879 (0.9)","2,851 (0.9)","28 (3.9)","17,006 (1.3)","9,490 (0.9)"
"Diabetes (%)","21,161 (7.0)","21,068 (7.0)","93 (13.1)","75,995 (6.0)","61,211 (6.0)"
"Heart disease (%)","19,038 (6.3)","18,948 (6.3)","90 (12.7)","81,048 (6.4)","64,003 (6.2)"
"Cancer (%)","11,977 (3.9)","11,937 (3.9)","40 (5.6)","53,765 (4.2)","43,264 (4.2)"
"Hypertension (%)","39,196 (12.9)","39,057 (12.9)","139 (19.5)","153,793 (12.2)","123,587 (12.1)"
"Renal impairment (%)","10,126 (3.3)","10,068 (3.3)","58 (8.2)","41,931 (3.3)","32,428 (3.2)"
"Long Covid symptoms (%)","39,907 (13.1)","39,769 (13.1)","138 (19.4)","188,464 (14.9)","149,213 (14.6)"
"Abdominal pain (%)","4,664 (1.5)","4,653 (1.5)","11 (1.5)","23,437 (1.9)","18,540 (1.8)"
"Allergy (%)","1,437 (0.5)","1,431 (0.5)","6 (0.8)","6,711 (0.5)","5,230 (0.5)"
"Altered smell or taste (%)","336 (0.1)","335 (0.1)","<5","288 (0.0)","239 (0.0)"
"Anxiety (%)","5,576 (1.8)","5,566 (1.8)","10 (1.4)","31,160 (2.5)","24,636 (2.4)"
"Blurred vision (%)","205 (0.1)","205 (0.1)","<5","1,024 (0.1)","787 (0.1)"
"Chest pain (%)","2,034 (0.7)","2,029 (0.7)","5 (0.7)","8,091 (0.6)","6,458 (0.6)"
"Cognitive dysfunction (%)","123 (0.0)","122 (0.0)","<5","632 (0.0)","454 (0.0)"
"Cough (%)","3,506 (1.2)","3,488 (1.2)","18 (2.5)","18,104 (1.4)","14,297 (1.4)"
"Depression (%)","4,277 (1.4)","4,266 (1.4)","11 (1.5)","26,199 (2.1)","20,796 (2.0)"
"Dizziness (%)","1,446 (0.5)","1,444 (0.5)","<5","6,971 (0.6)","5,538 (0.5)"
"Dyspnea (%)","3,771 (1.2)","3,753 (1.2)","18 (2.5)","13,490 (1.1)","10,970 (1.1)"
"Fatigue or malaise (%)","3,441 (1.1)","3,434 (1.1)","7 (1.0)","11,876 (0.9)","9,226 (0.9)"
"Gastrointestinal issues (%)","2,684 (0.9)","2,667 (0.9)","17 (2.4)","13,447 (1.1)","10,585 (1.0)"
"Headache (%)","3,669 (1.2)","3,654 (1.2)","15 (2.1)","18,819 (1.5)","14,647 (1.4)"
"Intermittent fever (%)","423 (0.1)","418 (0.1)","5 (0.7)","2,086 (0.2)","1,568 (0.2)"
"Joint pain (%)","6,192 (2.0)","6,168 (2.0)","24 (3.4)","29,406 (2.3)","23,599 (2.3)"
"Memory issues (%)","192 (0.1)","188 (0.1)","<5","747 (0.1)","600 (0.1)"
"Menstrual problems (%)","1,161 (0.4)","1,157 (0.4)","<5","5,819 (0.5)","4,579 (0.4)"
"Muscle spasms or pain (%)","96 (0.0)","95 (0.0)","<5","504 (0.0)","413 (0.0)"
"Neuralgia (%)","849 (0.3)","845 (0.3)","<5","4,237 (0.3)","3,427 (0.3)"
"Pins sensation (%)","407 (0.1)","407 (0.1)","<5","1,714 (0.1)","1,346 (0.1)"
"Postexertional fatigue = 0 (%)","303,835 (100.0)","303,124 (100.0)","711 (100.0)","1,265,539 (100.0)","1,024,256 (100.0)"
"Sleep disorder (%)","1,472 (0.5)","1,467 (0.5)","5 (0.7)","7,258 (0.6)","5,792 (0.6)"
"Tachycardia (%)","1,367 (0.4)","1,366 (0.5)","<5","5,714 (0.5)","4,456 (0.4)"
"Tinnitus and hearing problems (%)","1,113 (0.4)","1,107 (0.4)","6 (0.8)","5,221 (0.4)","4,120 (0.4)"
"Number of symptoms (%)","","","","",""
"   0","263,928 (86.9)","263,355 (86.9)","573 (80.6)","1,077,075 (85.1)","875,043 (85.4)"
"   1","31,424 (10.3)","31,315 (10.3)","109 (15.3)","144,672 (11.4)","114,592 (11.2)"
"   2","6,874 (2.3)","6,851 (2.3)","23 (3.2)","35,265 (2.8)","27,866 (2.7)"
"   3","1,265 (0.4)","1,261 (0.4)","<5","6,801 (0.5)","5,403 (0.5)"
"   4","266 (0.1)","265 (0.1)","<5","1,368 (0.1)","1,059 (0.1)"
"   5","64 (0.0)","63 (0.0)","<5","290 (0.0)","239 (0.0)"
"   6","9 (0.0)","9 (0.0)","<5","56 (0.0)","46 (0.0)"
"   7","<5","<5","<5","7 (0.0)","<5"
"   8","<5","<5","<5","<5","<5"
"   9","<5","<5","<5","<5","<5"
"Days elapsed since index date and record of symptom (median [iqr])","84 [52.00, 120.00]","84 [52.00, 120.00]","88.5 [53.00, 114.50]","92 [56.00, 132.00]","93 [57.00, 134.00]"
