"","First infection","Tested negative, earliest","SMD"
"N","302,336","764,470",""
"Days of follow-up (median [iqr])","152 [130.00, 188.00]","151 [130.00, 188.00]","0.001"
"Age (median [iqr])","41 [29.00, 54.00]","41 [29.00, 54.00]","0.001"
"Age, categories (%)","","","<0.001"
"   <=34","112,218 (37.1)","283,748.2 (37.1)",""
"   35-49","89,752 (29.7)","226,941.9 (29.7)",""
"   50-64","73,492 (24.3)","185,827.8 (24.3)",""
"   65-79","20,847 (6.9)","52,712.6 (6.9)",""
"   >=80","6,027 (2.0)","15,239.5 (2.0)",""
"Sex, female (%)","165,520 (54.7)","433,922.7 (56.8)","0.041"
"Trimester = jan-apr 2021 (%)","59,177 (19.6)","149,631.7 (19.6)","<0.001"
"Vaccination status (%)","","","0.026"
"   Non vaccinated","300,935 (99.5)","762,139.9 (99.7)",""
"   First dose vaccination","1,347 (0.4)","2,215.4 (0.3)",""
"   Two doses vaccination","54 (0.0)","104.5 (0.0)",""
"   Booster doses","<5","10.1 (0.0)",""
"PCR test (%)","283,363 (93.7)","716,495.9 (93.7)","<0.001"
"Asthma (%)","48,014 (15.9)","130,633 (17.1)","0.033"
"Autoimmune disease (%)","6,083 (2.0)","16,455.3 (2.2)","0.010"
"COPD (%)","3,820 (1.3)","12,286.2 (1.6)","0.029"
"Dementia (%)","2,778 (0.9)","5,830.4 (0.8)","0.017"
"Diabetes (%)","20,974 (6.9)","44,864.4 (5.9)","0.044"
"Heart disease (%)","18,789 (6.2)","47,492.8 (6.2)","<0.001"
"Cancer (%)","11,836 (3.9)","32,323.6 (4.2)","0.016"
"Hypertension (%)","38,813 (12.8)","92,187.8 (12.1)","0.024"
"Renal impairment (%)","9,931 (3.3)","23,652.4 (3.1)","0.011"
"Long Covid symptoms (%)","23,681 (7.8)","61,454.2 (8.0)","0.008"
"Abdominal pain (%)","2,640 (0.9)","6,892.4 (0.9)","0.003"
"Allergy (%)","929 (0.3)","2,315.7 (0.3)","0.001"
"Altered smell or taste (%)","200 (0.1)","74.2 (0.0)","0.029"
"Anxiety (%)","3,407 (1.1)","10,165.6 (1.3)","0.018"
"Blurred vision (%)","115 (0.0)","294.2 (0.0)","<0.001"
"Chest pain (%)","1,003 (0.3)","2,409.3 (0.3)","0.003"
"Cognitive dysfunction (%)","72 (0.0)","162.2 (0.0)","0.002"
"Cough (%)","1,668 (0.6)","5,185.6 (0.7)","0.016"
"Depression (%)","2,745 (0.9)","8,790.1 (1.1)","0.024"
"Dizziness (%)","819 (0.3)","2,055.3 (0.3)","<0.001"
"Dyspnea (%)","1,853 (0.6)","3,942.4 (0.5)","0.013"
"Fatigue or malaise (%)","1,884 (0.6)","3,527.7 (0.5)","0.022"
"Gastrointestinal issues (%)","1,406 (0.5)","3,840.9 (0.5)","0.005"
"Headache (%)","2,229 (0.7)","5,803.9 (0.8)","0.003"
"Intermittent fever (%)","208 (0.1)","568.1 (0.1)","0.002"
"Joint pain (%)","3,753 (1.2)","9,734.1 (1.3)","0.003"
"Memory issues (%)","110 (0.0)","248.2 (0.0)","0.002"
"Menstrual problems (%)","649 (0.2)","1,752.7 (0.2)","0.003"
"Muscle spasms or pain (%)","61 (0.0)","175.3 (0.0)","0.002"
"Neuralgia (%)","498 (0.2)","1,350.7 (0.2)","0.003"
"Pins sensation (%)","225 (0.1)","507 (0.1)","0.003"
"Postexertional fatigue = 0 (%)","302,336 (100.0)","764,470 (100.0)","<0.001"
"Sleep disorder (%)","758 (0.3)","2,070.9 (0.3)","0.004"
"Tachycardia (%)","722 (0.2)","1,681.5 (0.2)","0.004"
"Tinnitus and hearing problems (%)","615 (0.2)","1,505.7 (0.2)","0.001"
"Number of symptoms (%)","","","0.013"
"   0","278,655 (92.2)","703,015.8 (92.0)",""
"   1","19,530 (6.5)","49,852.8 (6.5)",""
"   2","3,551 (1.2)","9,950.7 (1.3)",""
"   3","499 (0.2)","1,383.1 (0.2)",""
"   4","75 (0.0)","207.3 (0.0)",""
"   5","18 (0.0)","49.3 (0.0)",""
"   6","6 (0.0)","6.7 (0.0)",""
"   7","<5","1.7 (0.0)",""
"   8","<5","0.8 (0.0)",""
"   9","<5","1.7 (0.0)",""
"Days elapsed since index date and record of symptom (median [iqr])","120 [104.00, 147.00]","120 [104.00, 147.00]","0.007"
