"","First infection","Reinfections","SMD"
"N","2,126","709",""
"Days of follow-up (median [iqr])","141 [127.00, 173.00]","142 [127.00, 173.00]","0.005"
"Age (median [iqr])","46 [31.00, 58.00]","46 [31.00, 59.00]","0.002"
"Age, categories (%)","","","<0.001"
"   <=34","680.7 (32.0)","227 (32.0)",""
"   35-49","512.8 (24.1)","171 (24.1)",""
"   50-64","587.7 (27.6)","196 (27.6)",""
"   65-79","206.9 (9.7)","69 (9.7)",""
"   >=80","137.9 (6.5)","46 (6.5)",""
"Sex, female (%)","1,433.3 (67.4)","470 (66.3)","0.024"
"Trimester = jan-apr 2021 (%)","563.7 (26.5)","188 (26.5)","<0.001"
"Vaccination status (%)","","","0.201"
"   Non vaccinated","2,116 (99.5)","687 (96.9)",""
"   First dose vaccination","10 (0.5)","20 (2.8)",""
"   Two doses vaccination","<5","<5",""
"PCR test (%)","1,673.2 (78.7)","558 (78.7)","<0.001"
"Asthma (%)","433.3 (20.4)","141 (19.9)","0.012"
"Autoimmune disease (%)","48.5 (2.3)","15 (2.1)","0.011"
"COPD (%)","90 (4.2)","26 (3.7)","0.029"
"Dementia (%)","51 (2.4)","28 (3.9)","0.089"
"Diabetes (%)","227.9 (10.7)","92 (13.0)","0.070"
"Heart disease (%)","231.9 (10.9)","89 (12.6)","0.051"
"Cancer (%)","129.9 (6.1)","40 (5.6)","0.020"
"Hypertension (%)","402.8 (18.9)","138 (19.5)","0.013"
"Renal impairment (%)","141.9 (6.7)","58 (8.2)","0.057"
"Long Covid symptoms (%)","1,998.6 (94.0)","138 (19.5)","2.284"
"Abdominal pain (%)","233.9 (11.0)","11 (1.6)","0.397"
"Allergy (%)","77 (3.6)","6 (0.8)","0.189"
"Altered smell or taste (%)","22 (1.0)","<5","0.117"
"Anxiety (%)","253.9 (11.9)","10 (1.4)","0.432"
"Blurred vision (%)","12 (0.6)","<5","0.107"
"Chest pain (%)","105 (4.9)","5 (0.7)","0.258"
"Cognitive dysfunction (%)","7 (0.3)","<5","0.039"
"Cough (%)","199.9 (9.4)","18 (2.5)","0.293"
"Depression (%)","206.9 (9.7)","11 (1.6)","0.360"
"Dizziness (%)","70 (3.3)","<5","0.229"
"Dyspnea (%)","191.9 (9.0)","18 (2.5)","0.281"
"Fatigue or malaise (%)","194.9 (9.2)","7 (1.0)","0.379"
"Gastrointestinal issues (%)","135.4 (6.4)","17 (2.4)","0.195"
"Headache (%)","162.9 (7.7)","15 (2.1)","0.259"
"Intermittent fever (%)","29 (1.4)","5 (0.7)","0.065"
"Joint pain (%)","290.9 (13.7)","24 (3.4)","0.375"
"Memory issues (%)","5 (0.2)","<5","0.052"
"Menstrual problems (%)","50 (2.4)","<5","0.149"
"Muscle spasms or pain (%)","7 (0.3)","<5","0.039"
"Neuralgia (%)","31 (1.5)","<5","0.089"
"Pins sensation (%)","17 (0.8)","<5","0.127"
"Postexertional fatigue = 0 (%)","2,126 (100.0)","709 (100.0)","<0.001"
"Sleep disorder (%)","77 (3.6)","5 (0.7)","0.201"
"Tachycardia (%)","57 (2.7)","<5","0.217"
"Tinnitus and hearing problems (%)","51 (2.4)","6 (0.8)","0.123"
"Number of symptoms (%)","","","2.286"
"   0","127.4 (6.0)","571 (80.5)",""
"   1","1,610.7 (75.8)","109 (15.4)",""
"   2","304.9 (14.3)","23 (3.2)",""
"   3","69 (3.2)","<5",""
"   4","10 (0.5)","<5",""
"   5","<5","<5",""
"Days elapsed since index date and record of symptom (median [iqr])","77 [50.00, 111.00]","87 [52.50, 114.00]","0.104"
