"","New infections","Tested negative, earliest","SMD"
"N","303,010","765,331",""
"Days of follow-up (median [iqr])","152 [130.00, 188.00]","151 [130.00, 188.00]","0.001"
"Age (median [iqr])","41 [29.00, 54.00]","41 [29.00, 54.00]","0.001"
"Age, categories (%)","","","<0.001"
"   <=34","112,429 (37.1)","283,968.8 (37.1)",""
"   35-49","89,919 (29.7)","227,114 (29.7)",""
"   50-64","73,682 (24.3)","186,103.2 (24.3)",""
"   65-79","20,914 (6.9)","52,823.8 (6.9)",""
"   >=80","6,066 (2.0)","15,321.3 (2.0)",""
"Sex, female (%)","165,965 (54.8)","434,410.4 (56.8)","0.040"
"Trimester = jan-apr 2021 (%)","59,337 (19.6)","149,871.1 (19.6)","<0.001"
"Vaccination status (%)","","","0.027"
"   Non vaccinated","301,588 (99.5)","762,992.1 (99.7)",""
"   First dose vaccination","1,366 (0.5)","2,223.9 (0.3)",""
"   Two doses vaccination","56 (0.0)","104.8 (0.0)",""
"   Booster doses","<5","10.1 (0.0)",""
"PCR test (%)","283,916 (93.7)","717,104.1 (93.7)","<0.001"
"Asthma (%)","48,154 (15.9)","130,784.4 (17.1)","0.032"
"Autoimmune disease (%)","6,099 (2.0)","16,473.9 (2.2)","0.010"
"COPD (%)","3,849 (1.3)","12,318.1 (1.6)","0.028"
"Dementia (%)","2,804 (0.9)","5,853.5 (0.8)","0.018"
"Diabetes (%)","21,061 (7.0)","44,937.1 (5.9)","0.044"
"Heart disease (%)","18,870 (6.2)","47,571.9 (6.2)","<0.001"
"Cancer (%)","11,873 (3.9)","32,379.8 (4.2)","0.016"
"Hypertension (%)","38,939 (12.9)","92,355.3 (12.1)","0.024"
"Renal impairment (%)","9,978 (3.3)","23,722 (3.1)","0.011"
"Long Covid symptoms (%)","39,873 (13.2)","100,009.6 (13.1)","0.003"
"Abdominal pain (%)","4,662 (1.5)","12,168.7 (1.6)","0.004"
"Allergy (%)","1,435 (0.5)","3,621.1 (0.5)","<0.001"
"Altered smell or taste (%)","336 (0.1)","144 (0.0)","0.036"
"Anxiety (%)","5,576 (1.8)","16,221.3 (2.1)","0.020"
"Blurred vision (%)","205 (0.1)","526.2 (0.1)","<0.001"
"Chest pain (%)","2,033 (0.7)","4,285 (0.6)","0.014"
"Cognitive dysfunction (%)","122 (0.0)","304.4 (0.0)","<0.001"
"Cough (%)","3,501 (1.2)","9,473.7 (1.2)","0.008"
"Depression (%)","4,275 (1.4)","13,617.6 (1.8)","0.029"
"Dizziness (%)","1,445 (0.5)","3,652.3 (0.5)","<0.001"
"Dyspnea (%)","3,765 (1.2)","7,243.9 (0.9)","0.028"
"Fatigue or malaise (%)","3,437 (1.1)","6,087.9 (0.8)","0.035"
"Gastrointestinal issues (%)","2,680 (0.9)","6,923.1 (0.9)","0.002"
"Headache (%)","3,666 (1.2)","9,640 (1.3)","0.005"
"Intermittent fever (%)","422 (0.1)","990.9 (0.1)","0.003"
"Joint pain (%)","6,185 (2.0)","15,721.2 (2.1)","0.001"
"Memory issues (%)","192 (0.1)","400.8 (0.1)","0.005"
"Menstrual problems (%)","1,161 (0.4)","3,016.6 (0.4)","0.002"
"Muscle spasms or pain (%)","96 (0.0)","276.1 (0.0)","0.002"
"Neuralgia (%)","849 (0.3)","2,252.6 (0.3)","0.003"
"Pins sensation (%)","407 (0.1)","892.9 (0.1)","0.005"
"Postexertional fatigue = 0 (%)","303,010 (100.0)","765,331 (100.0)","<0.001"
"Sleep disorder (%)","1,472 (0.5)","3,868.6 (0.5)","0.003"
"Tachycardia (%)","1,367 (0.5)","2,886.9 (0.4)","0.012"
"Tinnitus and hearing problems (%)","1,111 (0.4)","2,689.1 (0.4)","0.003"
"Number of symptoms (%)","","","0.009"
"   0","263,137 (86.8)","665,321.4 (86.9)",""
"   1","31,396 (10.4)","78,105.4 (10.2)",""
"   2","6,869 (2.3)","17,904.3 (2.3)",""
"   3","1,264 (0.4)","3,219.5 (0.4)",""
"   4","266 (0.1)","610.4 (0.1)",""
"   5","64 (0.0)","141.4 (0.0)",""
"   6","9 (0.0)","22.7 (0.0)",""
"   7","<5","2.5 (0.0)",""
"   8","<5","0.8 (0.0)",""
"   9","<5","2.5 (0.0)",""
"Days elapsed since index date and record of symptom (median [iqr])","84 [52.00, 120.00]","87 [54.00, 122.00]","0.039"
