"analysis_id","n_persons","person_days","n_events","time","incidence_start_date","incidence_end_date","person_years","ir_100000_pys","ir_100000_pys_95CI_lower","ir_100000_pys_95CI_upper","cohort_obscured","result_obscured","age_group","sex","cohort","database"
"1",4861203,143160267,163506,"2020_09",2020-09-01,2020-09-30,391951.449691992,41715.8809154778,41513.9219706113,41918.5789132533,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4797453,143198838,232318,"2020_10",2020-10-01,2020-10-31,392057.051334702,59256.1718273161,59015.4561128832,59497.6262960876,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4733722,135933638,215322,"2020_11",2020-11-01,2020-11-30,372166.01779603,57856.437639078,57612.3179093605,58101.3356282309,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4765537,139023810,293505,"2020_12",2020-12-01,2020-12-31,380626.447638604,77111.0367713272,76832.3160941805,77390.5183294677,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4753104,138343157,286642,"2021_01",2021-01-01,2021-01-31,378762.92128679,75678.4742883958,75401.6792914882,75956.0339155379,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4683662,124466997,202827,"2021_02",2021-02-01,2021-02-28,340772.065708419,59519.8434409083,59261.0933318667,59779.4435260718,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4773819,140908072,180999,"2021_03",2021-03-01,2021-03-31,385785.275838467,46917.0316587683,46701.1345971031,47133.679554839,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4766996,137660664,190085,"2021_04",2021-04-01,2021-04-30,376894.357289528,50434.55714408,50208.0820034801,50661.8008164545,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4758563,141966449,158819,"2021_05",2021-05-01,2021-05-31,388682.954140999,40860.80912681,40660.0956029357,41062.2679275318,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4785824,138804301,140377,"2021_06",2021-06-01,2021-06-30,380025.464750171,36938.840425413,36745.8558572571,37132.5872899856,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4790101,142165538,238106,"2021_07",2021-07-01,2021-07-31,389228.030116359,61173.9087569872,60928.4386129204,61420.1230184873,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4763771,141855091,122756,"2021_08",2021-08-01,2021-08-31,388378.072553046,31607.3456961795,31430.7764682557,31784.6608729607,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4802483,140283540,108188,"2021_09",2021-09-01,2021-09-30,384075.400410678,28168.4273151362,28000.8241345269,28336.78484867,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4806203,145059077,108922,"2021_10",2021-10-01,2021-10-31,397150.108145106,27425.902137789,27263.2669635496,27589.2668281254,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4786732,139975199,116052,"2021_11",2021-11-01,2021-11-30,383231.208761123,30282.5024024434,30108.523454242,30457.2373384972,"FALSE","FALSE","18;150","Both","Tested negative","SIDIAP"
"1",4793491,146340058,NA,"2021_12",2021-12-01,2021-12-31,400657.242984257,NA,NA,NA,"FALSE","TRUE","18;150","Both","Tested negative","SIDIAP"
"1",4840481,149201343,NA,"2022_01",2022-01-01,2022-01-31,408491.014373717,NA,NA,NA,"FALSE","TRUE","18;150","Both","Tested negative","SIDIAP"
"1",4830548,134965931,NA,"2022_02",2022-02-01,2022-02-28,369516.580424367,NA,NA,NA,"FALSE","TRUE","18;150","Both","Tested negative","SIDIAP"
"1",4833187,149485558,NA,"2022_03",2022-03-01,2022-03-31,409269.152635181,NA,NA,NA,"FALSE","TRUE","18;150","Both","Tested negative","SIDIAP"
"1",4834981,144742633,NA,"2022_04",2022-04-01,2022-04-30,396283.731690623,NA,NA,NA,"FALSE","TRUE","18;150","Both","Tested negative","SIDIAP"
"1",4840257,149683898,NA,"2022_05",2022-05-01,2022-05-31,409812.177960301,NA,NA,NA,"FALSE","TRUE","18;150","Both","Tested negative","SIDIAP"
"1",4844859,144976588,NA,"2022_06",2022-06-01,2022-06-30,396924.265571526,NA,NA,NA,"FALSE","TRUE","18;150","Both","Tested negative","SIDIAP"
"1",355377,10421200,11557,"2020_09",2020-09-01,2020-09-30,28531.6906228611,40505.8366598856,39770.6744100553,41251.1749971472,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",351328,10458988,14775,"2020_10",2020-10-01,2020-10-31,28635.1485284052,51597.4274948972,50768.7610178145,52436.229623225,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",347841,9975612,17158,"2020_11",2020-11-01,2020-11-30,27311.7371663244,62822.8072623514,61886.2708005955,63769.9683844382,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",346395,9972786,25168,"2020_12",2020-12-01,2020-12-31,27304,92176.9704072663,91041.6466665029,93322.9170518485,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",350394,10130513,14495,"2021_01",2021-01-01,2021-01-31,27735.832991102,52260.9146249553,51413.5571815927,53118.7366399249,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",347962,9303744,13586,"2021_02",2021-02-01,2021-02-28,25472.2628336756,53336.4471335411,52443.3077360354,54240.982076778,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",351026,10349471,13921,"2021_03",2021-03-01,2021-03-31,28335.3073237509,49129.518310646,48316.7435419887,49952.5368426543,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",350536,10063897,13631,"2021_04",2021-04-01,2021-04-30,27553.4483230664,49471.1218725708,48644.0716827091,50308.7068218938,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",350430,10403838,12362,"2021_05",2021-05-01,2021-05-31,28484.1560574949,43399.5656218407,42637.8474845594,44171.4757716755,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",351899,10139712,10694,"2021_06",2021-06-01,2021-06-30,27761.0184804928,38521.6414430706,37794.9584840172,39258.7842831391,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",353632,10536370,11884,"2021_07",2021-07-01,2021-07-31,28847.0088980151,41196.6455240277,40459.2577389364,41944.0977280438,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",353214,10577788,8694,"2021_08",2021-08-01,2021-08-31,28960.4052019165,30020.2981946698,29392.5402968845,30658.0863393837,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",354917,10316786,10111,"2021_09",2021-09-01,2021-09-30,28245.8206707734,35796.4461994268,35102.0697729974,36501.1039278842,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",354794,10611163,10789,"2021_10",2021-10-01,2021-10-31,29051.780971937,37137.1380309585,36439.6493810652,37844.6216887472,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",354382,10238317,11728,"2021_11",2021-11-01,2021-11-30,28030.984257358,41839.415599263,41085.580810479,42603.6080095661,"FALSE","FALSE","65;79","Male","Tested negative","SIDIAP"
"1",355245,10758814,NA,"2021_12",2021-12-01,2021-12-31,29456.0273785079,NA,NA,NA,"FALSE","TRUE","65;79","Male","Tested negative","SIDIAP"
"1",360872,11082152,NA,"2022_01",2022-01-01,2022-01-31,30341.2785763176,NA,NA,NA,"FALSE","TRUE","65;79","Male","Tested negative","SIDIAP"
"1",361065,10046063,NA,"2022_02",2022-02-01,2022-02-28,27504.6214921287,NA,NA,NA,"FALSE","TRUE","65;79","Male","Tested negative","SIDIAP"
"1",361938,11140324,NA,"2022_03",2022-03-01,2022-03-31,30500.5448323066,NA,NA,NA,"FALSE","TRUE","65;79","Male","Tested negative","SIDIAP"
"1",362367,10797663,NA,"2022_04",2022-04-01,2022-04-30,29562.3901437372,NA,NA,NA,"FALSE","TRUE","65;79","Male","Tested negative","SIDIAP"
"1",362893,11175186,NA,"2022_05",2022-05-01,2022-05-31,30595.9917864476,NA,NA,NA,"FALSE","TRUE","65;79","Male","Tested negative","SIDIAP"
"1",363425,10829964,NA,"2022_06",2022-06-01,2022-06-30,29650.8254620123,NA,NA,NA,"FALSE","TRUE","65;79","Male","Tested negative","SIDIAP"
"10",703419,20582488,27582,"2020_09",2020-09-01,2020-09-30,56351.780971937,48946.1016569037,48370.1495132232,49527.2004021301,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",691076,20444909,38008,"2020_10",2020-10-01,2020-10-31,55975.1101984942,67901.608170523,67220.6635532487,68587.7324630812,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",680328,19361462,33577,"2020_11",2020-11-01,2020-11-30,53008.7939767283,63342.3201718961,62666.5902939995,64023.5201796554,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",686254,19853367,44854,"2020_12",2020-12-01,2020-12-31,54355.5564681725,82519.6224902305,81757.6982460765,83286.8800070202,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",683043,19591877,54680,"2021_01",2021-01-01,2021-01-31,53639.6358658453,101939.543618,101086.880689463,102797.610189194,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",664012,17406501,31982,"2021_02",2021-02-01,2021-02-28,47656.4024640657,67109.5557918274,66376.050400886,67849.1459505051,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",684774,19994333,29262,"2021_03",2021-03-01,2021-03-31,54741.5003422313,53454.8739385305,52844.1380060809,54070.9075519136,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",681610,19550591,29526,"2021_04",2021-04-01,2021-04-30,53526.6009582478,55161.3580377187,54533.9409651393,55794.1929854244,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",680003,20141238,24823,"2021_05",2021-05-01,2021-05-31,55143.704312115,45015.111533859,44456.8423851244,45578.6406128023,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",683381,19697725,20614,"2021_06",2021-06-01,2021-06-30,53929.4318959617,38224.0258710079,37703.9852007393,38749.4460245324,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",683581,20140747,37975,"2021_07",2021-07-01,2021-07-31,55142.3600273785,68867.2011519732,68176.2739172178,69563.3862885068,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",676861,20018312,17521,"2021_08",2021-08-01,2021-08-31,54807.151266256,31968.4559317489,31496.8278127494,32445.3784356931,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",683434,19879284,14847,"2021_09",2021-09-01,2021-09-30,54426.5133470226,27278.9842430945,26841.9368570265,27721.3642126456,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",682827,20559141,13572,"2021_10",2021-10-01,2021-10-31,56287.8603696099,24111.7710122227,23707.8027751131,24520.8961475796,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",679527,19842945,15192,"2021_11",2021-11-01,2021-11-30,54327.022587269,27963.9841767439,27521.0582890852,28412.252244939,"FALSE","FALSE","35;49","Female","Tested negative","SIDIAP"
"10",678870,20673890,NA,"2021_12",2021-12-01,2021-12-31,56602.0260095825,NA,NA,NA,"FALSE","TRUE","35;49","Female","Tested negative","SIDIAP"
"10",684352,21000194,NA,"2022_01",2022-01-01,2022-01-31,57495.3976728268,NA,NA,NA,"FALSE","TRUE","35;49","Female","Tested negative","SIDIAP"
"10",680915,18961912,NA,"2022_02",2022-02-01,2022-02-28,51914.8856947296,NA,NA,NA,"FALSE","TRUE","35;49","Female","Tested negative","SIDIAP"
"10",680775,20970960,NA,"2022_03",2022-03-01,2022-03-31,57415.3593429158,NA,NA,NA,"FALSE","TRUE","35;49","Female","Tested negative","SIDIAP"
"10",679829,20276480,NA,"2022_04",2022-04-01,2022-04-30,55513.9767282683,NA,NA,NA,"FALSE","TRUE","35;49","Female","Tested negative","SIDIAP"
"10",679833,20935509,NA,"2022_05",2022-05-01,2022-05-31,57318.2997946612,NA,NA,NA,"FALSE","TRUE","35;49","Female","Tested negative","SIDIAP"
"10",679011,20239174,NA,"2022_06",2022-06-01,2022-06-30,55411.8384668036,NA,NA,NA,"FALSE","TRUE","35;49","Female","Tested negative","SIDIAP"
"2",130299,3807472,4432,"2020_09",2020-09-01,2020-09-30,10424.2902121834,42516.0841629302,41273.4912928791,43786.5829613973,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",128670,3813377,5568,"2020_10",2020-10-01,2020-10-31,10440.4572210815,53330.9976957432,51939.2849778037,54750.55798887,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",127493,3633067,5976,"2020_11",2020-11-01,2020-11-30,9946.79534565366,60079.6517102492,58565.9496012511,61622.5789066959,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",127315,3685477,7889,"2020_12",2020-12-01,2020-12-31,10090.2861054073,78184.1061550513,76468.2479244449,79928.7576399024,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",127274,3698045,5637,"2021_01",2021-01-01,2021-01-31,10124.6954140999,55675.7489430226,54231.7096383012,57148.5035200176,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",126461,3360127,4736,"2021_02",2021-02-01,2021-02-28,9199.52635181383,51480.9112869841,50025.0499816588,52968.3885320658,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",127313,3741916,4968,"2021_03",2021-03-01,2021-03-31,10244.8076659822,48492.8576697072,47153.675842572,49860.4263803043,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",126849,3639189,4488,"2021_04",2021-04-01,2021-04-30,9963.55646817248,45044.1568162577,43735.8563571053,46381.652706186,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",127091,3768484,4308,"2021_05",2021-05-01,2021-05-31,10317.5468856947,41754.1112022766,40516.4800196095,43019.9390526078,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",127534,3668833,3757,"2021_06",2021-06-01,2021-06-30,10044.7173169062,37402.7449600459,36216.2026510669,38618.2602801216,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",128036,3802301,4845,"2021_07",2021-07-01,2021-07-31,10410.1327857632,46541.1930828201,45239.8099623104,47870.5139476292,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",127282,3782779,3881,"2021_08",2021-08-01,2021-08-31,10356.6844626968,37473.3826639093,36303.5942118304,38671.2689186821,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",127813,3683206,4120,"2021_09",2021-09-01,2021-09-30,10084.0684462697,40856.5255378059,39618.3860227097,42123.5178893597,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",127585,3793801,4185,"2021_10",2021-10-01,2021-10-31,10386.8610540726,40291.2870232255,39079.7240341055,41530.8606043816,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",126992,3659007,3974,"2021_11",2021-11-01,2021-11-30,10017.8151950719,39669.3283177649,38445.4524824947,40922.2505708292,"FALSE","FALSE","80;150","Male","Tested negative","SIDIAP"
"2",127280,3845210,NA,"2021_12",2021-12-01,2021-12-31,10527.6112251882,NA,NA,NA,"FALSE","TRUE","80;150","Male","Tested negative","SIDIAP"
"2",128458,3936355,NA,"2022_01",2022-01-01,2022-01-31,10777.1526351814,NA,NA,NA,"FALSE","TRUE","80;150","Male","Tested negative","SIDIAP"
"2",128048,3551089,NA,"2022_02",2022-02-01,2022-02-28,9722.35181382615,NA,NA,NA,"FALSE","TRUE","80;150","Male","Tested negative","SIDIAP"
"2",128073,3926896,NA,"2022_03",2022-03-01,2022-03-31,10751.2553045859,NA,NA,NA,"FALSE","TRUE","80;150","Male","Tested negative","SIDIAP"
"2",127979,3799429,NA,"2022_04",2022-04-01,2022-04-30,10402.2696783025,NA,NA,NA,"FALSE","TRUE","80;150","Male","Tested negative","SIDIAP"
"2",127882,3926665,NA,"2022_05",2022-05-01,2022-05-31,10750.6228610541,NA,NA,NA,"FALSE","TRUE","80;150","Male","Tested negative","SIDIAP"
"2",127911,3800748,NA,"2022_06",2022-06-01,2022-06-30,10405.8809034908,NA,NA,NA,"FALSE","TRUE","80;150","Male","Tested negative","SIDIAP"
"3",223523,6552743,6812,"2020_09",2020-09-01,2020-09-30,17940.4325804244,37970.098934141,37073.7097920638,38882.6870120367,"FALSE","FALSE","80;150","Female","Tested negative","SIDIAP"
"3",220778,6583854,8964,"2020_10",2020-10-01,2020-10-31,18025.6098562628,49729.2467299548,48705.0522647145,50769.5551639414,"FALSE","FALSE","80;150","Female","Tested negative","SIDIAP"
"3",218264,6259517,9096,"2020_11",2020-11-01,2020-11-30,17137.6235455168,53076.2038029452,51990.997313604,54178.3587681199,"FALSE","FALSE","80;150","Female","Tested negative","SIDIAP"
