"cohort","n_persons","n_events","incidence_start_date","person_days","ir_100000_pys","sex","age_group","database","ir_100000_pys_95CI_lower","ir_100000_pys_95CI_upper"
"COVID-19 infection",18874,5780,2020-09-01,5670202,37206.7873419677,"Both","Overall","SIDIAP",36253.7051020151,38178.5835732554
"COVID-19 infection",55593,16722,2020-10-01,16781234,36371.1631695261,"Both","Overall","SIDIAP",35821.9601791468,36926.6778755225
"COVID-19 infection",38070,11693,2020-11-01,11433734,37327.6569141804,"Both","Overall","SIDIAP",36654.1107234535,38010.4715053129
"COVID-19 infection",34438,10712,2020-12-01,10278400,38039.7727272727,"Both","Overall","SIDIAP",37322.780194204,38767.0768893159
"COVID-19 infection",60329,17853,2021-01-01,18117637,35966.8592543277,"Both","Overall","SIDIAP",35441.1818639496,36498.3823478531
"COVID-19 infection",26595,7536,2021-02-01,8000837,34379.4030549554,"Both","Overall","SIDIAP",33607.528710071,35164.5326126694
"COVID-19 infection",23633,6681,2021-03-01,7069087,34496.180341252,"Both","Overall","SIDIAP",33673.9047747245,35333.4619522989
"COVID-19 infection",27171,7007,2021-04-01,7836416,32636.7946775669,"Both","Overall","SIDIAP",31877.0465902414,33410.0781312991
"COVID-19 infection",13605,3102,2021-05-01,3667694,30870.350689016,"Both","Overall","SIDIAP",29793.4595477797,31976.2200874104
"COVID-19 infection",18006,3346,2021-06-01,4356374,28034.5535071139,"Both","Overall","SIDIAP",27092.6119565652,29000.8866944782
"COVID-19 infection",100649,19793,2021-07-01,22310421,32381.4821782162,"Both","Overall","SIDIAP",31931.9169194144,32835.7939656223
"COVID-19 infection",26357,5539,2021-08-01,5160139,39179.8554263751,"Both","Overall","SIDIAP",38154.7720027515,40225.5047300993
"COVID-19 infection",7232,1297,2021-09-01,1260948,37543.5783236105,"Both","Overall","SIDIAP",35527.9180051348,39643.8031235856
"COVID-19 infection",4952,691,2021-10-01,749924,33632.0747169046,"Both","Overall","SIDIAP",31170.8611196114,36235.9625134552
"COVID-19 infection",13999,1470,2021-11-01,1736588,30896.7930217185,"Both","Overall","SIDIAP",29337.3548893848,32517.5995217113
"COVID-19 infection",2903,995,2020-09-01,850940,42679.2723341246,"Female","<=34","SIDIAP",40068.2531642347,45415.7674298221
"COVID-19 infection",2738,632,2020-09-01,872080,26451.7016787451,"Male","<=34","SIDIAP",24429.3667317723,28596.7962476896
"COVID-19 infection",680,303,2020-09-01,179070,61760.7639470598,"Female",">=80","SIDIAP",55001.7133654817,69121.1411421806
"COVID-19 infection",323,138,2020-09-01,85248,59086.4301801802,"Male",">=80","SIDIAP",49639.842174232,69807.5053185541
"COVID-19 infection",3056,1038,2020-09-01,891483,42498.8474261427,"Female","35-49","SIDIAP",39952.4494626681,45164.9863416614
"COVID-19 infection",3006,688,2020-09-01,956998,26240.3892171144,"Male","35-49","SIDIAP",24316.0004643924,28276.5833869232
"COVID-19 infection",2171,788,2020-09-01,623346,46141.3083584398,"Female","50-64","SIDIAP",42975.4981380348,49478.629606676
"COVID-19 infection",2109,546,2020-09-01,658145,30280.5612744912,"Male","50-64","SIDIAP",27793.5959598941,32930.3518154178
"COVID-19 infection",973,376,2020-09-01,277418,49470.4741581296,"Female","65-79","SIDIAP",44595.8856543829,54732.4673149286
"COVID-19 infection",915,276,2020-09-01,275474,36569.694417622,"Male","65-79","SIDIAP",32382.1838026058,41148.4432801056
"COVID-19 infection",8190,2744,2020-10-01,2400881,41716.353288647,"Female","<=34","SIDIAP",40169.9478127789,43307.0438288172
"COVID-19 infection",7603,1552,2020-10-01,2446915,23150.7837419771,"Male","<=34","SIDIAP",22013.2008759765,24331.909667918
"COVID-19 infection",2231,903,2020-10-01,614597,53627.824411769,"Female",">=80","SIDIAP",50186.6139471223,57242.8504795106
"COVID-19 infection",1069,423,2020-10-01,294132,52491.7384031659,"Male",">=80","SIDIAP",47608.001440056,57740.5118521746
"COVID-19 infection",9211,3143,2020-10-01,2693447,42592.0762502474,"Female","35-49","SIDIAP",41115.9184375082,44107.6926557392
"COVID-19 infection",8004,1722,2020-10-01,2572837,24429.4527791695,"Male","35-49","SIDIAP",23289.1088372914,25611.1912523634
"COVID-19 infection",6874,2471,2020-10-01,1998509,45129.3939631996,"Female","50-64","SIDIAP",43367.3647471122,46944.642680385
"COVID-19 infection",6416,1636,2020-10-01,2004872,29784.4450917565,"Male","50-64","SIDIAP",28358.5006767071,31263.5218957659
"COVID-19 infection",3230,1271,2020-10-01,921040,50368.605055155,"Female","65-79","SIDIAP",47637.2505651535,53215.7441003947
"COVID-19 infection",2765,857,2020-10-01,834004,37506.4148373389,"Male","65-79","SIDIAP",35037.0248995421,40103.9313676727
"COVID-19 infection",5043,1776,2020-11-01,1459418,44417.7062363216,"Female","<=34","SIDIAP",42375.7219123828,46532.6566708601
"COVID-19 infection",4339,948,2020-11-01,1385189,24979.9846807909,"Male","<=34","SIDIAP",23414.944916466,26622.1247228211
"COVID-19 infection",2164,837,2020-11-01,600516,50873.7485762245,"Female",">=80","SIDIAP",47485.1683698675,54440.297436333
