"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","Reinfections",576,13253,4.34618576925979,"First infection",5449,39492,13.797731186063,"SIDIAP",0.314992784730423,0.289733380299778,0.342454343125969
"Allergy","Reinfections",235,13253,1.77318343016675,"First infection",2085,39492,5.27955028866606,"SIDIAP",0.335858801075038,0.293908047844306,0.383797364811586
"Altered smell taste","Reinfections",16,13253,0.120727382479439,"First infection",238,39492,0.602653702015598,"SIDIAP",0.200326293650336,0.120800042775705,0.332207034083529
"Anxiety","Reinfections",368,13253,2.77672979702709,"First infection",3301,39492,8.35865491745164,"SIDIAP",0.332198161600102,0.298816340059152,0.369309183522702
"Blurred vision","Reinfections",91,13253,0.686636987851807,"First infection",770,39492,1.94976197710929,"SIDIAP",0.35216451849667,0.283646654462084,0.437233600809381
"Chest pain","Reinfections",244,13253,1.84109258281144,"First infection",2003,39492,5.07191329889598,"SIDIAP",0.362997644934545,0.318290408904022,0.413984482541412
"Cognitive dysfunction brain fog","Reinfections",54,13253,0.407454915868105,"First infection",472,39492,1.19517877038388,"SIDIAP",0.340915456302187,0.257433502929295,0.451469397041338
"Cough","Reinfections",286,13253,2.15800196181997,"First infection",2542,39492,6.43674668287248,"SIDIAP",0.335262838222636,0.297159085247494,0.378252512789512
"Depression","Reinfections",186,13253,1.40345582132347,"First infection",1485,39492,3.76025524156791,"SIDIAP",0.373234190543479,0.320869637028871,0.434144415409775
"Dizziness","Reinfections",267,13253,2.01463819512563,"First infection",2363,39492,5.98349032715487,"SIDIAP",0.33669949895007,0.297135042097951,0.381532086531405
"Dyspnea","Reinfections",150,13253,1.13181921074474,"First infection",1119,39492,2.83348526283804,"SIDIAP",0.399444184725033,0.337239910826124,0.473122105624415
"Fatigue malaise","Reinfections",255,13253,1.92409265826605,"First infection",2298,39492,5.8189000303859,"SIDIAP",0.330662607746923,0.290974333477418,0.375764277403117
"Gastrointestinal issues","Reinfections",413,13253,3.11627556025051,"First infection",3039,39492,7.69522941355211,"SIDIAP",0.404962008639069,0.366099736210722,0.44794959466072
"Headache","Reinfections",292,13253,2.20327473024975,"First infection",2733,39492,6.92038893953206,"SIDIAP",0.318374407782742,0.282639685629073,0.358627145035945
"Intermittent fever","Reinfections",201,13253,1.51663774239795,"First infection",1629,39492,4.12488605287147,"SIDIAP",0.367679912355922,0.317988004184524,0.425137162946596
"Joint pain","Reinfections",580,13253,4.37636761487965,"First infection",5890,39492,14.9144130456801,"SIDIAP",0.293432105003102,0.270061750101912,0.318824862143785
"Memory issues","Reinfections",39,13253,0.294272994793632,"First infection",318,39492,0.805226374962018,"SIDIAP",0.365453745609752,0.262221116436058,0.509327555291546
"Menstrual problems","Reinfections",76,13253,0.573455066777333,"First infection",784,39492,1.98521219487491,"SIDIAP",0.288863360933297,0.228448072835371,0.365256052520136
"Muscle spams pain","Reinfections",23,13253,0.173545612314193,"First infection",220,39492,0.557074850602654,"SIDIAP",0.311530150977823,0.202843422183378,0.478452956095995
"Neuralgia","Reinfections",167,13253,1.26009205462914,"First infection",1504,39492,3.80836625139269,"SIDIAP",0.330874703599827,0.282333753647606,0.387761180049759
"Pins sensation","Reinfections",69,13253,0.520636836942579,"First infection",572,39492,1.4483946115669,"SIDIAP",0.359457866512873,0.280225576832961,0.461092664196769
"Sleep disorder","Reinfections",218,13253,1.64491058628235,"First infection",1739,39492,4.40342347817279,"SIDIAP",0.37355266747247,0.324933309267169,0.429446878470263
"Tachycardia","Reinfections",77,13253,0.581000528182298,"First infection",657,39492,1.66362807657247,"SIDIAP",0.349237029816976,0.2760238718492,0.441869401288659
"Tinnitus and hearing problems","Reinfections",107,13253,0.807364370331246,"First infection",993,39492,2.51443330294743,"SIDIAP",0.321091980998203,0.263295344680304,0.391575705170691
