"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","First infection",15435,426693,3.61735486637934,"Tested negative, earliest",33856,1036939,3.26499437286089,"SIDIAP",1.10792070468706,1.08739664386249,1.1288321467631
"Allergy","First infection",6115,426693,1.43311467495366,"Tested negative, earliest",13700,1036939,1.32119632881008,"SIDIAP",1.08470985250494,1.0527239605256,1.11766760161309
"Altered smell taste","First infection",707,426693,0.165692898641412,"Tested negative, earliest",362,1036939,0.0349104431408212,"SIDIAP",4.74622731006428,4.18175268237422,5.38689764551316
"Anxiety","First infection",9119,426693,2.13713372377799,"Tested negative, earliest",21594,1036939,2.08247543973175,"SIDIAP",1.02624678447746,1.00169303219866,1.05140240452571
"Blurred vision","First infection",2200,426693,0.515593178233531,"Tested negative, earliest",4926,1036939,0.475052052242224,"SIDIAP",1.08534038701644,1.03227117479813,1.1411378952041
"Chest pain","First infection",5635,426693,1.32062161788452,"Tested negative, earliest",12291,1036939,1.18531562608794,"SIDIAP",1.11415186707962,1.0797869741331,1.14961044414672
"Cognitive dysfunction brain fog","First infection",1040,426693,0.243734956983124,"Tested negative, earliest",2529,1036939,0.243890913544577,"SIDIAP",0.999360547881073,0.929832841110396,1.07408714825398
"Cough","First infection",6571,426693,1.53998307916933,"Tested negative, earliest",14099,1036939,1.35967496641558,"SIDIAP",1.13261118812027,1.10017341379204,1.16600536549385
"Depression","First infection",3876,426693,0.908381435833257,"Tested negative, earliest",9918,1036939,0.956468991907914,"SIDIAP",0.949723873453823,0.91526703589386,0.985477899274778
"Dizziness","First infection",6908,426693,1.61896257965329,"Tested negative, earliest",16168,1036939,1.55920454337237,"SIDIAP",1.03832597623893,1.00971065127849,1.06775226305419
"Dyspnea","First infection",3066,426693,0.718549402029094,"Tested negative, earliest",5601,1036939,0.540147491800386,"SIDIAP",1.33028369646607,1.2731641354649,1.38996588404309
"Fatigue malaise","First infection",6380,426693,1.49522021687724,"Tested negative, earliest",13724,1036939,1.32351083332771,"SIDIAP",1.12973779981672,1.09691479136412,1.16354297196368
"Gastrointestinal issues","First infection",8157,426693,1.9116788885686,"Tested negative, earliest",19711,1036939,1.90088327278654,"SIDIAP",1.00567926286512,0.980303510778344,1.03171188171498
"Headache","First infection",7595,426693,1.77996826758349,"Tested negative, earliest",16411,1036939,1.58263890161331,"SIDIAP",1.12468375810112,1.09476093188278,1.15542445743022
"Intermittent fever","First infection",4408,426693,1.03306124075155,"Tested negative, earliest",10982,1036939,1.05907869218922,"SIDIAP",0.975433882647668,0.942106184359574,1.00994057274329
"Joint pain","First infection",16848,426693,3.9485063031266,"Tested negative, earliest",37639,1036939,3.6298181474513,"SIDIAP",1.08779727874221,1.06859019769411,1.10734959219388
"Memory issues","First infection",899,426693,0.210690121469066,"Tested negative, earliest",1941,1036939,0.187185552862801,"SIDIAP",1.12556828369918,1.0400802938669,1.2180828429691
"Menstrual problems","First infection",2209,426693,0.517702423053577,"Tested negative, earliest",4427,1036939,0.426929645813302,"SIDIAP",1.21261764820139,1.15240348256093,1.27597806061968
"Muscle spams pain","First infection",538,426693,0.126085968131654,"Tested negative, earliest",1467,1036939,0.141474088639737,"SIDIAP",0.891230113895498,0.807449213377318,0.98370411755298
"Neuralgia","First infection",4239,426693,0.99345431024179,"Tested negative, earliest",10243,1036939,0.987811240584065,"SIDIAP",1.00571270038837,0.97052300686267,1.04217831887585
"Pins sensation","First infection",1710,426693,0.40075651580879,"Tested negative, earliest",3806,1036939,0.367041841419794,"SIDIAP",1.09185512544995,1.03141349442076,1.15583868295308
"Sleep disorder","First infection",4807,426693,1.12657109444026,"Tested negative, earliest",11620,1036939,1.12060593728271,"SIDIAP",1.00532315326833,0.972278655379093,1.0394907230616
"Tachycardia","First infection",1883,426693,0.44130088846079,"Tested negative, earliest",4055,1036939,0.391054825790138,"SIDIAP",1.12848853755769,1.06858816298188,1.19174666491294
"Tinnitus and hearing problems","First infection",2729,426693,0.639569901545139,"Tested negative, earliest",6784,1036939,0.654233276981578,"SIDIAP",0.977586931218035,0.935238811460617,1.02185259676698
