"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","New infections",16022,468131,3.42254625307873,"Tested negative, all",45479,1259356,3.61129021499878,"SIDIAP",0.947735033552237,0.931116079118334,0.964650610128825
"Allergy","New infections",6354,468131,1.35731237623657,"Tested negative, all",17947,1259356,1.4250934604671,"SIDIAP",0.952437446307337,0.925755648811098,0.979888257007594
"Altered smell taste","New infections",726,468131,0.155084794640816,"Tested negative, all",479,1259356,0.0380353132871086,"SIDIAP",4.07738970020209,3.63326769508484,4.57580012334485
"Anxiety","New infections",9499,468131,2.02913287092715,"Tested negative, all",29102,1259356,2.31086364776918,"SIDIAP",0.878084205827551,0.858190703309196,0.898438854616684
"Blurred vision","New infections",2292,468131,0.48960654175861,"Tested negative, all",6534,1259356,0.518836611728534,"SIDIAP",0.94366228344499,0.899919960561809,0.989530785205259
"Chest pain","New infections",5884,468131,1.25691312901731,"Tested negative, all",16354,1259356,1.2986002369465,"SIDIAP",0.96789842882886,0.939663054713016,0.996982230843899
"Cognitive dysfunction brain fog","New infections",1094,468131,0.233695269059302,"Tested negative, all",2981,1259356,0.236708285822277,"SIDIAP",0.98727118168885,0.921261333265283,1.05801074135891
"Cough","New infections",6865,468131,1.46646985566006,"Tested negative, all",20051,1259356,1.59216297853824,"SIDIAP",0.921055115228483,0.896339081122875,0.946452679744597
"Depression","New infections",4064,468131,0.868133065317187,"Tested negative, all",13453,1259356,1.06824440428282,"SIDIAP",0.81267270096305,0.784782539597378,0.841554042766302
"Dizziness","New infections",7182,468131,1.53418594367816,"Tested negative, all",21390,1259356,1.69848716328028,"SIDIAP",0.903266139919005,0.879628065878316,0.927539435328847
"Dyspnea","New infections",3218,468131,0.687414420322517,"Tested negative, all",7531,1259356,0.598004059217568,"SIDIAP",1.14951463911789,1.10318222275072,1.19779296502036
"Fatigue malaise","New infections",6644,468131,1.41926084792505,"Tested negative, all",18264,1259356,1.45026505610804,"SIDIAP",0.97862169535671,0.951715173740911,1.00628890769746
"Gastrointestinal issues","New infections",8584,468131,1.83367476197902,"Tested negative, all",26631,1259356,2.11465225083297,"SIDIAP",0.867128276650088,0.846485646415353,0.888274303705327
"Headache","New infections",7892,468131,1.68585289160513,"Tested negative, all",22654,1259356,1.79885592318614,"SIDIAP",0.937180610117537,0.913677647397852,0.961288150675122
"Intermittent fever","New infections",4616,468131,0.986048776944915,"Tested negative, all",16192,1259356,1.28573651930034,"SIDIAP",0.766913564438143,0.742367365354728,0.792271377713615
"Joint pain","New infections",17441,468131,3.72566653351305,"Tested negative, all",47614,1259356,3.78082130866888,"SIDIAP",0.985411959293247,0.968782253861774,1.0023271231976
"Memory issues","New infections",939,468131,0.200584879018907,"Tested negative, all",2223,1259356,0.176518792144556,"SIDIAP",1.13633725101995,1.05295573007555,1.22632159280137
"Menstrual problems","New infections",2287,468131,0.488538464660533,"Tested negative, all",5919,1259356,0.470002128071808,"SIDIAP",1.03943883544692,0.99058576488143,1.09070121027286
"Muscle spams pain","New infections",562,468131,0.120051865823883,"Tested negative, all",1788,1259356,0.141977328094677,"SIDIAP",0.845570679734349,0.769151710495216,0.929582245830363
"Neuralgia","New infections",4408,468131,0.941616769664901,"Tested negative, all",13519,1259356,1.07348517813867,"SIDIAP",0.877158612751026,0.847981896277478,0.907339219505622
"Pins sensation","New infections",1779,468131,0.380021831495885,"Tested negative, all",4725,1259356,0.375191764679725,"SIDIAP",1.01287359497425,0.959229965703262,1.06951717114457
"Sleep disorder","New infections",5030,468131,1.07448556066571,"Tested negative, all",15083,1259356,1.19767563738927,"SIDIAP",0.897142370707238,0.869118152796608,0.926070213501292
"Tachycardia","New infections",1960,468131,0.418686222446281,"Tested negative, all",5373,1259356,0.426646635264373,"SIDIAP",0.981341906486244,0.931979279553512,1.03331904319527
"Tinnitus and hearing problems","New infections",2840,468131,0.606667791707877,"Tested negative, all",8118,1259356,0.644615184268785,"SIDIAP",0.941131711621169,0.901883449535507,0.982087983846652
