"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","New infections",20254,438159,4.62252287411647,"Tested negative, earliest",43987,1059596,4.15129917440232,"SIDIAP",1.1135123439476,1.09554577565656,1.1317735576869
"Allergy","New infections",8148,438159,1.85959891272346,"Tested negative, earliest",17844,1059596,1.68403806733887,"SIDIAP",1.10424992688082,1.07594365775047,1.13330088637326
"Altered smell taste","New infections",857,438159,0.195591098208641,"Tested negative, earliest",505,1059596,0.0476596740644548,"SIDIAP",4.10391178806898,3.67681040504868,4.58062562625623
"Anxiety","New infections",12302,438159,2.8076565812867,"Tested negative, earliest",28213,1059596,2.66261858293161,"SIDIAP",1.05447193949777,1.03268147384254,1.07672220268545
"Blurred vision","New infections",2977,438159,0.67943372154857,"Tested negative, earliest",6428,1059596,0.606646306705575,"SIDIAP",1.11998328191969,1.07251414628969,1.16955338642293
"Chest pain","New infections",7756,438159,1.77013367293608,"Tested negative, earliest",16100,1059596,1.51944703453014,"SIDIAP",1.16498544056421,1.13410967252983,1.19670179137008
"Cognitive dysfunction brain fog","New infections",1460,438159,0.333212372677498,"Tested negative, earliest",3398,1059596,0.320688262318846,"SIDIAP",1.0390538470853,0.977340103479516,1.10466447994825
"Cough","New infections",8930,438159,2.03807293699319,"Tested negative, earliest",17909,1059596,1.69017248083232,"SIDIAP",1.20583725040272,1.1758942798216,1.23654268875209
"Depression","New infections",5159,438159,1.17742645934467,"Tested negative, earliest",12802,1059596,1.20819633143198,"SIDIAP",0.97453239073252,0.94371906926358,1.00635179633271
"Dizziness","New infections",9080,438159,2.07230708487102,"Tested negative, earliest",20898,1059596,1.97226112593857,"SIDIAP",1.05072652785003,1.02541723621721,1.07666050202214
"Dyspnea","New infections",4804,438159,1.09640564270048,"Tested negative, earliest",7493,1059596,0.70715631240586,"SIDIAP",1.55044312476025,1.49553859016268,1.60736332644873
"Fatigue malaise","New infections",8992,438159,2.05222305144936,"Tested negative, earliest",17702,1059596,1.6706367332455,"SIDIAP",1.22840771462181,1.19791518807935,1.25967641812923
"Gastrointestinal issues","New infections",11054,438159,2.5228284709432,"Tested negative, earliest",26314,1059596,2.48339933333082,"SIDIAP",1.01587708311071,0.993837204079699,1.03840573058962
"Headache","New infections",10071,438159,2.29848068851718,"Tested negative, earliest",21406,1059596,2.02020392677964,"SIDIAP",1.13774686706066,1.11141030329366,1.16470751591037
"Intermittent fever","New infections",5769,438159,1.31664532738116,"Tested negative, earliest",14556,1059596,1.37373112016278,"SIDIAP",0.958444711673374,0.929850049937076,0.987918713771991
"Joint pain","New infections",21998,438159,5.02055190010932,"Tested negative, earliest",48497,1059596,4.57693309525517,"SIDIAP",1.09692490487004,1.08001206976578,1.11410259256185
"Memory issues","New infections",1241,438159,0.283230516775874,"Tested negative, earliest",2466,1059596,0.23273021038207,"SIDIAP",1.21699076501885,1.13684579582795,1.30278576705517
"Menstrual problems","New infections",2954,438159,0.674184485540637,"Tested negative, earliest",5832,1059596,0.550398453750297,"SIDIAP",1.2249025791168,1.17203278645161,1.28015730077781
"Muscle spams pain","New infections",720,438159,0.164323909813561,"Tested negative, earliest",1898,1059596,0.179124874008584,"SIDIAP",0.917370693060115,0.842014700550592,0.999470659995954
"Neuralgia","New infections",5489,438159,1.25274158467588,"Tested negative, earliest",13321,1059596,1.25717726378733,"SIDIAP",0.996471715453965,0.9658248216396,1.02809107557839
"Pins sensation","New infections",2288,438159,0.522184868963093,"Tested negative, earliest",4849,1059596,0.457627246610972,"SIDIAP",1.14107032050695,1.08586899058261,1.1990778700138
"Sleep disorder","New infections",6651,438159,1.51794211690277,"Tested negative, earliest",15398,1059596,1.45319536880094,"SIDIAP",1.04455474431855,1.01516223953366,1.0747982651321
"Tachycardia","New infections",2816,438159,0.642689069493038,"Tested negative, earliest",5428,1059596,0.512270714498733,"SIDIAP",1.25458873853822,1.1989262916916,1.31283542097165
"Tinnitus and hearing problems","New infections",3780,438159,0.862700526521194,"Tested negative, earliest",8869,1059596,0.837017127282474,"SIDIAP",1.03068443691482,0.992344758545437,1.07050538570439
