"","New infections","Tested negative, all","SMD"
"N","468,131","1,259,356",""
"Days of follow-up (median [iqr])","358 [254.00, 365.00]","341 [243.00, 365.00]","0.123"
"Age (median [iqr])","43 [30.00, 57.00]","43 [30.00, 57.00]","0.001"
"Age, categories (%)","","","<0.001"
"   <=34","156,493 (33.4)","420,994 (33.4)",""
"   35-49","138,907 (29.7)","373,685 (29.7)",""
"   50-64","100,162 (21.4)","269,454 (21.4)",""
"   65-79","48,219 (10.3)","129,718 (10.3)",""
"   >=80","24,350 (5.2)","65,506 (5.2)",""
"Sex, female (%)","246,633 (52.7)","700,535 (55.6)","0.059"
"Trimester (%)","","","0.001"
"   Sep-dec 2020","146,894 (31.4)","395,171 (31.4)",""
"   Jan-apr 2021","137,723 (29.4)","370,532 (29.4)",""
"   May-aug 2021","157,331 (33.6)","422,876 (33.6)",""
"   Sep-dec 2021","26,183 (5.6)","70,778 (5.6)",""
"Vaccination status (%)","","","0.157"
"   Non vaccinated","375,167 (80.1)","942,088 (74.8)",""
"   First dose vaccination","39,909 (8.5)","106,410 (8.4)",""
"   Two doses vaccination","52,653 (11.2)","208,906 (16.6)",""
"   Booster doses","402 (0.1)","1,953 (0.2)",""
"PCR test (%)","237,014 (50.6)","637,610 (50.6)","<0.001"
"Asthma (%)","35,654 (7.6)","109,093 (8.7)","0.038"
"Autoimmune disease (%)","8,499 (1.8)","26,850 (2.1)","0.023"
"COPD (%)","12,484 (2.7)","44,225 (3.5)","0.049"
"Dementia (%)","7,352 (1.6)","16,195 (1.3)","0.024"
"Diabetes (%)","40,103 (8.6)","104,188 (8.3)","0.011"
"Heart disease (%)","51,970 (11.1)","153,122 (12.2)","0.033"
"Cancer (%)","30,440 (6.5)","100,967 (8.0)","0.058"
"Hypertension (%)","82,799 (17.7)","227,611 (18.1)","0.010"
"Renal impairment (%)","20,060 (4.3)","58,182 (4.6)","0.016"
"Long Covid symptoms (%)","119,195 (25.5)","352,568 (28.0)","0.057"
"Abdominal pain (%)","20,266 (4.3)","60,101 (4.8)","0.021"
"Allergy (%)","8,151 (1.7)","23,725 (1.9)","0.011"
"Altered smell or taste (%)","857 (0.2)","643 (0.1)","0.039"
"Anxiety (%)","12,318 (2.6)","39,468 (3.1)","0.030"
"Blurred vision (%)","2,978 (0.6)","8,247 (0.7)","0.002"
"Chest pain (%)","7,761 (1.7)","21,977 (1.7)","0.007"
"Cognitive dysfunction (%)","1,462 (0.3)","4,259 (0.3)","0.005"
"Cough (%)","8,942 (1.9)","25,548 (2.0)","0.009"
"Depression (%)","5,162 (1.1)","17,666 (1.4)","0.027"
"Dizziness (%)","9,082 (1.9)","27,808 (2.2)","0.019"
"Dyspnea (%)","4,808 (1.0)","10,228 (0.8)","0.023"
"Fatigue or malaise (%)","8,999 (1.9)","24,507 (1.9)","0.002"
"Gastrointestinal issues (%)","11,064 (2.4)","35,965 (2.9)","0.031"
"Headache (%)","10,082 (2.2)","30,167 (2.4)","0.016"
"Intermittent fever (%)","5,775 (1.2)","21,120 (1.7)","0.037"
"Joint pain (%)","22,006 (4.7)","63,084 (5.0)","0.014"
"Memory issues (%)","1,241 (0.3)","3,119 (0.2)","0.003"
"Menstrual problems (%)","2,955 (0.6)","8,172 (0.6)","0.002"
"Muscle spasms or pain (%)","721 (0.2)","2,319 (0.2)","0.007"
"Neuralgia (%)","5,494 (1.2)","17,700 (1.4)","0.021"
"Pins sensation (%)","2,290 (0.5)","6,349 (0.5)","0.002"
"Postexertional fatigue = 0 (%)","468,131 (100.0)","1,259,356 (100.0)","<0.001"
"Sleep disorder (%)","6,659 (1.4)","20,261 (1.6)","0.015"
"Tachycardia (%)","2,818 (0.6)","7,387 (0.6)","0.002"
"Tinnitus and hearing problems (%)","3,783 (0.8)","11,064 (0.9)","0.008"
"Number of symptoms (%)","","","0.057"
"   0","348,936 (74.5)","906,788 (72.0)",""
"   1","85,826 (18.3)","253,473 (20.1)",""
"   2","24,015 (5.1)","70,937 (5.6)",""
"   3","6,636 (1.4)","20,095 (1.6)",""
"   4","1,971 (0.4)","5,832 (0.5)",""
"   5","528 (0.1)","1,655 (0.1)",""
"   6","166 (0.0)","425 (0.0)",""
"   7","42 (0.0)","119 (0.0)",""
"   8","5 (0.0)","21 (0.0)",""
"   9","<5","7 (0.0)",""
"   10","<5","<5",""
"Days elapsed since index date and record of symptom (median [iqr])","140 [80.00, 222.00]","136 [78.00, 216.00]","0.038"
