"number_observations","reason","cohort"
2176294,"Starting events","COVID-19 infection"
1784561,"Aged 18 years or older","COVID-19 infection"
1782206,"180 days of prior history","COVID-19 infection"
1538602,"No prior target in the previous 42 days","COVID-19 infection"
1536451,"No prior influenza infection in the previous 42 days","COVID-19 infection"
12673771,"Starting events","Tested negative"
10315859,"Aged 18 years or older","Tested negative"
10301848,"180 days of prior history","Tested negative"
7146778,"No prior COVID-19 infection","Tested negative"
7135164,"No prior influenza infection in the previous 42 days","Tested negative"
4633105,"No prior target in the previous 42 days","Tested negative"
1446330,"Tests prior to 2020-09-01","COVID-19 infection"
469503,"Less than 120 days of follow-up","COVID-19 infection"
456236,"Population included","First infection"
13267,"Population included","Reinfections"
4088010,"Tests prior to 2020-09-01","Tested negative"
2785887,"Less than 120 days of follow-up","Tested negative"
1643589,"Population included","First test negative"
