"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","New infections",15941,468131,3.40524340408988,"Tested negative, all",47737,1259356,3.79058820540022,"SIDIAP",0.898341687244908,0.882658296628765,0.914303745995886
"Allergy","New infections",6326,468131,1.35133114448733,"Tested negative, all",18915,1259356,1.50195814368614,"SIDIAP",0.899712918211467,0.874635883139766,0.925508946981129
"Altered smell taste","New infections",714,468131,0.152521409605431,"Tested negative, all",503,1259356,0.0399410492346882,"SIDIAP",3.81866306789378,3.40708259902411,4.27996304823156
"Anxiety","New infections",9443,468131,2.01717040742869,"Tested negative, all",31071,1259356,2.46721340113518,"SIDIAP",0.817590568574479,0.799171915126639,0.836433719916215
"Blurred vision","New infections",2285,468131,0.488111233821302,"Tested negative, all",6750,1259356,0.53598823525675,"SIDIAP",0.910675275526311,0.86858737269433,0.954802571999601
"Chest pain","New infections",5863,468131,1.25242720520538,"Tested negative, all",17617,1259356,1.39888959118788,"SIDIAP",0.895300968064158,0.869397182849753,0.921976559423867
"Cognitive dysfunction brain fog","New infections",1092,468131,0.233268038220071,"Tested negative, all",3559,1259356,0.282604759893152,"SIDIAP",0.825421476652643,0.771375016384623,0.883254707046033
"Cough","New infections",6829,468131,1.4587797005539,"Tested negative, all",20886,1259356,1.65846670838111,"SIDIAP",0.879595407723242,0.856066146179622,0.903771378812916
"Depression","New infections",4048,468131,0.86471521860334,"Tested negative, all",14441,1259356,1.14669720079152,"SIDIAP",0.754092028834172,0.728377591942554,0.780714280946861
"Dizziness","New infections",7164,468131,1.53034086612508,"Tested negative, all",22342,1259356,1.7740813558676,"SIDIAP",0.862610308745778,0.840136331478558,0.88568547374323
"Dyspnea","New infections",3207,468131,0.685064650706747,"Tested negative, all",8196,1259356,0.650808826098419,"SIDIAP",1.05263577141953,1.01066867129988,1.09634551731663
"Fatigue malaise","New infections",6603,468131,1.41050261572081,"Tested negative, all",19304,1259356,1.53284694716982,"SIDIAP",0.920184900602829,0.895009620368441,0.946068323767142
"Gastrointestinal issues","New infections",8551,468131,1.82662545313171,"Tested negative, all",28502,1259356,2.26322024907969,"SIDIAP",0.807091335398967,0.788004948531055,0.826640016525755
"Headache","New infections",7847,468131,1.67624019772243,"Tested negative, all",23750,1259356,1.88588453145894,"SIDIAP",0.888835010712813,0.866630523104869,0.911608413512165
"Intermittent fever","New infections",4576,468131,0.977504160160297,"Tested negative, all",16562,1259356,1.31511661515886,"SIDIAP",0.74328325632341,0.719471555628418,0.767883031384305
"Joint pain","New infections",17386,468131,3.71391768543421,"Tested negative, all",51076,1259356,4.05572371910723,"SIDIAP",0.915722554753246,0.900395654778539,0.931310355434868
"Memory issues","New infections",938,468131,0.200371263599292,"Tested negative, all",2627,1259356,0.208598680595479,"SIDIAP",0.960558633579557,0.89162065931435,1.03482672693313
"Menstrual problems","New infections",2275,468131,0.485975079625148,"Tested negative, all",6280,1259356,0.498667572949984,"SIDIAP",0.974547185312751,0.92901928959915,1.02230623953007
"Muscle spams pain","New infections",559,468131,0.119411019565036,"Tested negative, all",1894,1259356,0.15039432852982,"SIDIAP",0.793986187726219,0.72254856321295,0.87248677583242
"Neuralgia","New infections",4403,468131,0.940548692566824,"Tested negative, all",14246,1259356,1.13121309621743,"SIDIAP",0.831451382336225,0.803956026039508,0.859887081877344
"Pins sensation","New infections",1775,468131,0.379167369817423,"Tested negative, all",5193,1259356,0.412353615657527,"SIDIAP",0.919519934881168,0.87137118742567,0.970329203954763
"Sleep disorder","New infections",5012,468131,1.07064048311263,"Tested negative, all",16352,1259356,1.29844142561754,"SIDIAP",0.824558167961591,0.799016450625048,0.850916363261747
"Tachycardia","New infections",1955,468131,0.417618145348204,"Tested negative, all",5770,1259356,0.458170684063918,"SIDIAP",0.911490324182206,0.866013443294557,0.959355328154181
"Tinnitus and hearing problems","New infections",2838,468131,0.606240560868646,"Tested negative, all",9069,1259356,0.720129971191625,"SIDIAP",0.841848812187997,0.807205088255775,0.877979379582127
