"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","New infections",19642,438159,4.48284755077495,"Tested negative, earliest",43984,1059596,4.1510160476257,"SIDIAP",1.07993982662126,1.06232284242936,1.09784896129662
"Allergy","New infections",7945,438159,1.81326869926214,"Tested negative, earliest",17842,1059596,1.68384931615446,"SIDIAP",1.07685924260922,1.04901236249111,1.10544534064318
"Altered smell taste","New infections",810,438159,0.184864398540256,"Tested negative, earliest",505,1059596,0.0476596740644548,"SIDIAP",3.87884311357745,3.47107693541597,4.33451178976653
"Anxiety","New infections",11861,438159,2.7070081865259,"Tested negative, earliest",28211,1059596,2.66242983174719,"SIDIAP",1.01674348531073,0.995457483675634,1.03848464838972
"Blurred vision","New infections",2923,438159,0.667109428312553,"Tested negative, earliest",6427,1059596,0.606551931113368,"SIDIAP",1.09983893232032,1.05293355255292,1.1488338215784
"Chest pain","New infections",7566,438159,1.7267704189575,"Tested negative, earliest",16100,1059596,1.51944703453014,"SIDIAP",1.13644660176751,1.10607218347539,1.16765514761511
"Cognitive dysfunction brain fog","New infections",1454,438159,0.331843006762385,"Tested negative, earliest",3398,1059596,0.320688262318846,"SIDIAP",1.03478376278221,0.973237408575619,1.10022223383794
"Cough","New infections",8628,438159,1.9691481859325,"Tested negative, earliest",17907,1059596,1.6899837296479,"SIDIAP",1.16518765913963,1.13591540532337,1.19521425156198
"Depression","New infections",5058,438159,1.15437546644027,"Tested negative, earliest",12802,1059596,1.20819633143198,"SIDIAP",0.955453543773035,0.92503016694725,0.986877517001571
"Dizziness","New infections",8879,438159,2.02643332671473,"Tested negative, earliest",20897,1059596,1.97216675034636,"SIDIAP",1.02751622111003,1.00256969074063,1.05308348576176
"Dyspnea","New infections",4729,438159,1.07928856876157,"Tested negative, earliest",7492,1059596,0.707061936813653,"SIDIAP",1.52644133783433,1.47212706733336,1.58275953859752
"Fatigue malaise","New infections",8689,438159,1.98307007273615,"Tested negative, earliest",17700,1059596,1.67044798206109,"SIDIAP",1.1871486535542,1.15733872085827,1.21772640994022
"Gastrointestinal issues","New infections",10770,438159,2.45801181762785,"Tested negative, earliest",26313,1059596,2.48330495773861,"SIDIAP",0.989814726527267,0.968138854056568,1.01197590484578
"Headache","New infections",9729,438159,2.22042683135574,"Tested negative, earliest",21405,1059596,2.02010955118743,"SIDIAP",1.09916159252381,1.07341254636615,1.12552830742428
"Intermittent fever","New infections",5530,438159,1.26209891842915,"Tested negative, earliest",14555,1059596,1.37363674457057,"SIDIAP",0.918801075624774,0.890968791381351,0.947502791046595
"Joint pain","New infections",21508,438159,4.90872035037509,"Tested negative, earliest",48495,1059596,4.57674434407076,"SIDIAP",1.07253540537706,1.05586388192069,1.0894701632324
"Memory issues","New infections",1233,438159,0.281404695555723,"Tested negative, earliest",2466,1059596,0.23273021038207,"SIDIAP",1.20914553849173,1.12935090817265,1.29457808257322
"Menstrual problems","New infections",2849,438159,0.650220582026159,"Tested negative, earliest",5832,1059596,0.550398453750297,"SIDIAP",1.18136338791596,1.12976281563151,1.23532075493932
"Muscle spams pain","New infections",712,438159,0.16249808859341,"Tested negative, earliest",1898,1059596,0.179124874008584,"SIDIAP",0.907177685359447,0.832368446112875,0.988710416231376
"Neuralgia","New infections",5402,438159,1.23288577890674,"Tested negative, earliest",13321,1059596,1.25717726378733,"SIDIAP",0.98067775676486,0.950345641576747,1.01197797994604
"Pins sensation","New infections",2237,438159,0.510545258684633,"Tested negative, earliest",4849,1059596,0.457627246610972,"SIDIAP",1.11563562367746,1.0612566325597,1.17280100461298
"Sleep disorder","New infections",6555,438159,1.49603226226096,"Tested negative, earliest",15398,1059596,1.45319536880094,"SIDIAP",1.02947772500498,1.00036160768008,1.05944128417647
"Tachycardia","New infections",2750,438159,0.627626044426795,"Tested negative, earliest",5428,1059596,0.512270714498733,"SIDIAP",1.22518431497873,1.17040586048949,1.28252656308651
"Tinnitus and hearing problems","New infections",3730,438159,0.851289143895253,"Tested negative, earliest",8869,1059596,0.837017127282474,"SIDIAP",1.01705104489213,0.979042986870016,1.05653463820125
