"","First infection","Tested negative, earliest","SMD"
"N","426,690","1,036,934",""
"Days of follow-up (median [iqr])","365 [256.00, 365.00]","358 [249.00, 365.00]","0.098"
"Age (median [iqr])","44 [31.00, 58.00]","44 [32.00, 58.00]","0.001"
"Age, categories (%)","","","<0.001"
"   <=34","129,016 (30.2)","313,532 (30.2)",""
"   35-49","131,314 (30.8)","319,117 (30.8)",""
"   50-64","97,096 (22.8)","235,961 (22.8)",""
"   65-79","46,739 (11.0)","113,584 (11.0)",""
"   >=80","22,525 (5.3)","54,740 (5.3)",""
"Sex, female (%)","225,345 (52.8)","543,142 (52.4)","0.009"
"Trimester (%)","","","0.001"
"   Sep-dec 2020","143,626 (33.7)","349,037 (33.7)",""
"   Jan-apr 2021","133,708 (31.3)","324,962 (31.3)",""
"   May-aug 2021","124,473 (29.2)","302,277 (29.2)",""
"   Sep-dec 2021","24,883 (5.8)","60,658 (5.8)",""
"Vaccination status (%)","","","0.077"
"   Non vaccinated","403,490 (94.6)","975,655 (94.1)",""
"   First dose vaccination","8,917 (2.1)","19,783 (1.9)",""
"   Two doses vaccination","14,218 (3.3)","38,259 (3.7)",""
"   Booster doses","65 (0.0)","3,237 (0.3)",""
"PCR test (%)","225,464 (52.8)","547,918 (52.8)","<0.001"
"Asthma (%)","31,942 (7.5)","79,369 (7.7)","0.006"
"Autoimmune disease (%)","7,922 (1.9)","19,846 (1.9)","0.004"
"COPD (%)","11,705 (2.7)","31,648 (3.1)","0.018"
"Dementia (%)","6,487 (1.5)","9,552 (0.9)","0.055"
"Diabetes (%)","37,911 (8.9)","82,889 (8.0)","0.032"
"Heart disease (%)","48,401 (11.3)","116,282 (11.2)","0.004"
"Cancer (%)","28,670 (6.7)","74,914 (7.2)","0.020"
"Hypertension (%)","78,836 (18.5)","187,216 (18.1)","0.011"
"Renal impairment (%)","18,597 (4.4)","42,892 (4.1)","0.011"
"Long Covid symptoms (%)","111,414 (26.1)","249,051 (24.0)","0.048"
"Abdominal pain (%)","18,919 (4.4)","41,496 (4.0)","0.022"
"Allergy (%)","7,657 (1.8)","16,701 (1.6)","0.014"
"Altered smell or taste (%)","792 (0.2)","458 (0.0)","0.042"
"Anxiety (%)","11,407 (2.7)","26,610 (2.6)","0.007"
"Blurred vision (%)","2,799 (0.7)","5,939 (0.6)","0.011"
"Chest pain (%)","7,267 (1.7)","15,100 (1.5)","0.020"
"Cognitive dysfunction (%)","1,380 (0.3)","3,111 (0.3)","0.004"
"Cough (%)","8,282 (1.9)","17,158 (1.7)","0.022"
"Depression (%)","4,829 (1.1)","11,860 (1.1)","0.001"
"Dizziness (%)","8,535 (2.0)","19,420 (1.9)","0.009"
"Dyspnea (%)","4,526 (1.1)","6,948 (0.7)","0.042"
"Fatigue or malaise (%)","8,363 (2.0)","16,669 (1.6)","0.027"
"Gastrointestinal issues (%)","10,245 (2.4)","24,474 (2.4)","0.003"
"Headache (%)","9,367 (2.2)","20,442 (2.0)","0.016"
"Intermittent fever (%)","5,270 (1.2)","13,618 (1.3)","0.007"
"Joint pain (%)","20,786 (4.9)","45,232 (4.4)","0.024"
"Memory issues (%)","1,174 (0.3)","2,224 (0.2)","0.012"
"Menstrual problems (%)","2,748 (0.6)","5,523 (0.5)","0.015"
"Muscle spams or pain (%)","681 (0.2)","1,747 (0.2)","0.002"
"Neuralgia (%)","5,187 (1.2)","12,467 (1.2)","0.001"
"Pins sensation (%)","2,149 (0.5)","4,538 (0.4)","0.010"
"Postexertional fatigue = 0 (%)","426,690 (100.0)","1,036,934 (100.0)","<0.001"
"Sleep disorder (%)","6,295 (1.5)","14,066 (1.4)","0.010"
"Tachycardia (%)","2,641 (0.6)","4,995 (0.5)","0.019"
"Tinnitus and hearing problems (%)","3,590 (0.8)","8,142 (0.8)","0.006"
"Number of symptoms (%)","","","0.053"
"   0","315,276 (73.9)","787,883 (76.0)",""
"   1","80,181 (18.8)","183,104 (17.7)",""
"   2","22,488 (5.3)","48,381 (4.7)",""
"   3","6,209 (1.5)","12,846 (1.2)",""
"   4","1,846 (0.4)","3,488 (0.3)",""
"   5","488 (0.1)","916 (0.1)",""
"   6","152 (0.0)","238 (0.0)",""
"   7","39 (0.0)","66 (0.0)",""
"   8","5 (0.0)","10 (0.0)",""
"   9","<5","<5",""
"   10","<5","<5",""
"Days elapsed since index date and record of symptom (median [iqr])","142 [80.00, 224.00]","143 [82.00, 224.00]","0.012"
