"","First infection","Reinfections","SMD"
"N","39,492","13,253",""
"Days of follow-up (median [iqr])","327 [244.00, 365.00]","306 [234.00, 365.00]","0.096"
"Age (median [iqr])","46 [30.00, 63.00]","46 [30.00, 63.00]","0.001"
"Age, categories (%)","","","<0.001"
"   <=34","12,492 (31.6)","4,192 (31.6)",""
"   35-49","9,619 (24.4)","3,228 (24.4)",""
"   50-64","8,054 (20.4)","2,703 (20.4)",""
"   65-79","4,175 (10.6)","1,401 (10.6)",""
"   >=80","5,152 (13.0)","1,729 (13.0)",""
"Sex, female (%)","23,555 (59.6)","8,084 (61.0)","0.028"
"Trimester (%)","","","0.003"
"   Sep-dec 2020","9,625 (24.4)","3,230 (24.4)",""
"   Jan-apr 2021","11,938 (30.2)","3,995 (30.1)",""
"   May-aug 2021","14,111 (35.7)","4,734 (35.7)",""
"   Sep-dec 2021","3,818 (9.7)","1,294 (9.8)",""
"Vaccination status (%)","","","0.200"
"   Non vaccinated","36,864 (93.3)","12,567 (94.8)",""
"   First dose vaccination","1,060 (2.7)","488 (3.7)",""
"   Two doses vaccination","1,562 (4.0)","155 (1.2)",""
"   Booster doses","5 (0.0)","43 (0.3)",""
"PCR test (%)","26,214 (66.4)","8,797 (66.4)","<0.001"
"Asthma (%)","3,591 (9.1)","1,165 (8.8)","0.011"
"Autoimmune disease (%)","946 (2.4)","370 (2.8)","0.025"
"COPD (%)","1,755 (4.4)","670 (5.1)","0.029"
"Dementia (%)","1,338 (3.4)","790 (6.0)","0.122"
"Diabetes (%)","4,614 (11.7)","1,643 (12.4)","0.022"
"Heart disease (%)","6,697 (17.0)","2,391 (18.0)","0.028"
"Cancer (%)","3,862 (9.8)","1,349 (10.2)","0.013"
"Hypertension (%)","10,009 (25.3)","3,266 (24.6)","0.016"
"Renal impairment (%)","3,249 (8.2)","1,279 (9.7)","0.050"
"Long Covid symptoms (%)","26,600 (67.4)","3,498 (26.4)","0.900"
"Abdominal pain (%)","4,196 (10.6)","576 (4.3)","0.240"
"Allergy (%)","1,618 (4.1)","235 (1.8)","0.138"
"Altered smell or taste (%)","220 (0.6)","16 (0.1)","0.075"
"Anxiety (%)","2,587 (6.6)","368 (2.8)","0.180"
"Blurred vision (%)","595 (1.5)","91 (0.7)","0.079"
"Chest pain (%)","1,584 (4.0)","244 (1.8)","0.129"
"Cognitive dysfunction (%)","359 (0.9)","54 (0.4)","0.062"
"Cough (%)","1,943 (4.9)","285 (2.2)","0.150"
"Depression (%)","1,135 (2.9)","186 (1.4)","0.102"
"Dizziness (%)","1,829 (4.6)","267 (2.0)","0.146"
"Dyspnea (%)","915 (2.3)","150 (1.1)","0.091"
"Fatigue or malaise (%)","1,837 (4.7)","255 (1.9)","0.153"
"Gastrointestinal issues (%)","2,405 (6.1)","413 (3.1)","0.142"
"Headache (%)","2,109 (5.3)","292 (2.2)","0.165"
"Intermittent fever (%)","1,231 (3.1)","201 (1.5)","0.106"
"Joint pain (%)","4,660 (11.8)","580 (4.4)","0.275"
"Memory issues (%)","265 (0.7)","39 (0.3)","0.054"
"Menstrual problems (%)","600 (1.5)","76 (0.6)","0.093"
"Muscle spams or pain (%)","170 (0.4)","23 (0.2)","0.047"
"Neuralgia (%)","1,195 (3.0)","167 (1.3)","0.122"
"Pins sensation (%)","444 (1.1)","69 (0.5)","0.067"
"Postexertional fatigue = 0 (%)","39,492 (100.0)","13,253 (100.0)","<0.001"
"Sleep disorder (%)","1,349 (3.4)","218 (1.6)","0.113"
"Tachycardia (%)","531 (1.3)","77 (0.6)","0.078"
"Tinnitus and hearing problems (%)","777 (2.0)","107 (0.8)","0.099"
"Number of symptoms (%)","","","0.909"
"   0","12,892 (32.6)","9,755 (73.6)",""
"   1","20,620 (52.2)","2,459 (18.6)",""
"   2","4,485 (11.4)","717 (5.4)",""
"   3","1,133 (2.9)","234 (1.8)",""
"   4","276 (0.7)","57 (0.4)",""
"   5","63 (0.2)","20 (0.2)",""
"   6","18 (0.0)","11 (0.1)",""
"   7","<5","<5",""
"   8","<5","<5",""
"   9","<5","<5",""
"Days elapsed since index date and record of symptom (median [iqr])","178 [129.00, 242.50]","173 [126.00, 242.00]","0.037"
