"","New infections","Tested negative, earliest","SMD"
"N","438,159","1,059,596",""
"Days of follow-up (median [iqr])","365 [256.00, 365.00]","358 [249.00, 365.00]","0.094"
"Age (median [iqr])","45 [32.00, 58.00]","45 [32.00, 58.00]","<0.001"
"Age, categories (%)","","","<0.001"
"   <=34","131,754 (30.1)","318,620 (30.1)",""
"   35-49","134,336 (30.7)","324,864 (30.7)",""
"   50-64","99,763 (22.8)","241,256 (22.8)",""
"   65-79","48,111 (11.0)","116,346 (11.0)",""
"   >=80","24,195 (5.5)","58,511 (5.5)",""
"Sex, female (%)","232,285 (53.0)","555,251 (52.4)","0.012"
"Trimester (%)","","","0.001"
"   Sep-dec 2020","146,798 (33.5)","355,000 (33.5)",""
"   Jan-apr 2021","137,684 (31.4)","333,003 (31.4)",""
"   May-aug 2021","127,496 (29.1)","308,102 (29.1)",""
"   Sep-dec 2021","26,181 (6.0)","63,491 (6.0)",""
"Vaccination status (%)","","","0.076"
"   Non vaccinated","414,380 (94.6)","996,768 (94.1)",""
"   First dose vaccination","9,340 (2.1)","20,203 (1.9)",""
"   Two doses vaccination","14,331 (3.3)","39,305 (3.7)",""
"   Booster doses","108 (0.0)","3,320 (0.3)",""
"PCR test (%)","233,565 (53.3)","564,828 (53.3)","<0.001"
"Asthma (%)","32,898 (7.5)","81,002 (7.6)","0.005"
"Autoimmune disease (%)","8,259 (1.9)","20,418 (1.9)","0.003"
"COPD (%)","12,349 (2.8)","32,735 (3.1)","0.016"
"Dementia (%)","7,250 (1.7)","10,087 (1.0)","0.062"
"Diabetes (%)","39,478 (9.0)","85,455 (8.1)","0.034"
"Heart disease (%)","50,636 (11.6)","120,371 (11.4)","0.006"
"Cancer (%)","29,946 (6.8)","77,456 (7.3)","0.019"
"Hypertension (%)","81,953 (18.7)","193,334 (18.2)","0.012"
"Renal impairment (%)","19,830 (4.5)","44,943 (4.2)","0.014"
"Long Covid symptoms (%)","92,472 (21.1)","206,622 (19.5)","0.040"
"Abdominal pain (%)","15,282 (3.5)","32,936 (3.1)","0.021"
"Allergy (%)","6,110 (1.4)","13,223 (1.2)","0.013"
"Altered smell or taste (%)","649 (0.1)","344 (0.0)","0.039"
"Anxiety (%)","8,985 (2.1)","21,009 (2.0)","0.005"
"Blurred vision (%)","2,219 (0.5)","4,742 (0.4)","0.009"
"Chest pain (%)","5,664 (1.3)","11,985 (1.1)","0.015"
"Cognitive dysfunction (%)","1,079 (0.2)","2,509 (0.2)","0.002"
"Cough (%)","6,467 (1.5)","14,070 (1.3)","0.013"
"Depression (%)","3,941 (0.9)","9,585 (0.9)","0.001"
"Dizziness (%)","6,946 (1.6)","15,605 (1.5)","0.009"
"Dyspnea (%)","3,132 (0.7)","5,488 (0.5)","0.025"
"Fatigue or malaise (%)","6,308 (1.4)","13,408 (1.3)","0.015"
"Gastrointestinal issues (%)","8,247 (1.9)","19,162 (1.8)","0.005"
"Headache (%)","7,469 (1.7)","16,170 (1.5)","0.014"
"Intermittent fever (%)","4,313 (1.0)","10,638 (1.0)","0.002"
"Joint pain (%)","16,839 (3.8)","36,282 (3.4)","0.022"
"Memory issues (%)","924 (0.2)","1,858 (0.2)","0.008"
"Menstrual problems (%)","2,181 (0.5)","4,306 (0.4)","0.014"
"Muscle spams or pain (%)","547 (0.1)","1,458 (0.1)","0.004"
"Neuralgia (%)","4,299 (1.0)","9,894 (0.9)","0.005"
"Pins sensation (%)","1,726 (0.4)","3,697 (0.3)","0.007"
"Postexertional fatigue = 0 (%)","438,159 (100.0)","1,059,596 (100.0)","<0.001"
"Sleep disorder (%)","4,913 (1.1)","11,116 (1.0)","0.007"
"Tachycardia (%)","1,870 (0.4)","3,886 (0.4)","0.010"
"Tinnitus and hearing problems (%)","2,786 (0.6)","6,510 (0.6)","0.003"
"Number of symptoms (%)","","","0.043"
"   0","345,687 (78.9)","852,974 (80.5)",""
"   1","69,826 (15.9)","158,843 (15.0)",""
"   2","16,904 (3.9)","36,124 (3.4)",""
"   3","4,223 (1.0)","8,740 (0.8)",""
"   4","1,141 (0.3)","2,221 (0.2)",""
"   5","273 (0.1)","534 (0.1)",""
"   6","77 (0.0)","118 (0.0)",""
"   7","24 (0.0)","34 (0.0)",""
"   8","<5","7 (0.0)",""
"   9","<5","<5",""
"   10","<5","<5",""
"Days elapsed since index date and record of symptom (median [iqr])","185 [132.00, 254.00]","184 [132.00, 253.00]","0.004"
