"cohort_id","n_row","n_subject","follow_up_days","n_May-Aug 2021","n_Sep-Dec 2020","n_Jan-Apr 2021","n_Sep-Dec 2021"
220128,452829,449233,135861255,152715,142072,132799,25243
220190,452829,449233,136958491,152715,142072,132799,25243
220228,463449,459613,140855513,156073,145341,136197,25838
220290,463449,459613,141307371,156073,145341,136197,25838
220328,469150,465196,143662255,158525,146824,137631,26170
220390,469150,465196,143693698,158525,146824,137631,26170
220428,460759,456995,139467967,155358,144408,135293,25700
220490,460759,456995,140170810,155358,144408,135293,25700
220528,467703,463778,142930884,157981,146520,137147,26055
220590,467703,463778,143100375,157981,146520,137147,26055
220628,464101,460249,141069137,156776,145393,136036,25896
220690,464101,460249,141558353,156776,145393,136036,25896
220728,468512,464572,143379733,158390,146656,137342,26124
220790,468512,464572,143472450,158390,146656,137342,26124
220828,463847,460019,140963953,156748,145248,136006,25845
220890,463847,460019,141477679,156748,145248,136006,25845
220928,465996,462120,142069835,157464,145876,136675,25981
220990,465996,462120,142358254,157464,145876,136675,25981
221028,462658,458820,140475622,156316,144913,135672,25757
221090,462658,458820,140963366,156316,144913,135672,25757
221128,466868,462984,142282103,157852,146102,136885,26029
221190,466868,462984,142696306,157852,146102,136885,26029
221228,462861,459045,140508654,156208,144915,135905,25833
221290,462861,459045,141102939,156208,144915,135905,25833
221328,460393,456641,139508481,155675,144028,134979,25711
221390,460393,456641,140133440,155675,144028,134979,25711
221428,461515,457736,139998345,155677,144715,135346,25777
221490,461515,457736,140563656,155677,144715,135346,25777
221628,461820,458017,140736771,156183,144279,135522,25836
221690,461820,458017,141029742,156183,144279,135522,25836
221728,452580,448957,135455095,153210,141424,132684,25262
221790,452580,448957,136620667,153210,141424,132684,25262
221828,468952,464994,143555613,158425,146854,137541,26132
221890,468952,464994,143631310,158425,146854,137541,26132
221928,467266,463349,142811092,157734,146398,137073,26061
221990,467266,463349,142977477,157734,146398,137073,26061
222028,468970,465015,143635636,158477,146802,137553,26138
222090,468970,465015,143675535,158477,146802,137553,26138
222128,465583,461705,141900550,157424,145744,136486,25929
222190,465583,461705,142175312,157424,145744,136486,25929
222428,468162,464219,143152932,158145,146583,137323,26111
222490,468162,464219,143280859,158145,146583,137323,26111
222528,469503,465537,143906133,158617,146975,137728,26183
222590,469503,465537,143906133,158617,146975,137728,26183
222628,465067,461195,141498627,157262,145608,136264,25933
222690,465067,461195,141929641,157262,145608,136264,25933
222728,467811,463870,142934304,158042,146483,137194,26092
222790,467811,463870,143157139,158042,146483,137194,26092
223028,467150,463229,142612576,157831,146349,136949,26021
223090,467150,463229,142850493,157831,146349,136949,26021
280128,2683998,1861515,786534810,640691,877663,844074,321570
280190,2683998,1861515,793568136,640691,877663,844074,321570
280228,2752202,1890232,817630010,656873,897895,867888,329546
280290,2752202,1890232,820507427,656873,897895,867888,329546
280328,2784818,1903156,834387214,666388,907322,877064,334044
280390,2784818,1903156,834478639,666388,907322,877064,334044
280428,2733524,1883749,807727392,652710,892103,861223,327488
280490,2733524,1883749,812296416,652710,892103,861223,327488
280528,2774163,1898755,828863966,663454,904711,873623,332375
280590,2774163,1898755,829877288,663454,904711,873623,332375
280628,2751386,1889829,817792847,657688,897904,866213,329581
280690,2751386,1889829,820493050,657688,897904,866213,329581
280728,2779191,1900863,831487952,664783,905841,875438,333129
280790,2779191,1900863,832102378,664783,905841,875438,333129
280828,2754854,1892877,818854455,658892,898210,867526,330226
280890,2754854,1892877,821431044,658892,898210,867526,330226
280928,2762357,1895706,822306878,660206,901015,870581,330555
280990,2762357,1895706,824503451,660206,901015,870581,330555
281028,2742464,1885358,813307578,655615,894468,864133,328248
281090,2742464,1885358,816620079,655615,894468,864133,328248
281128,2769423,1897694,826772481,662429,902864,872139,331991
281190,2769423,1897694,828110262,662429,902864,872139,331991
281228,2751325,1891005,817621377,657564,896802,867262,329697
281290,2751325,1891005,820379863,657564,896802,867262,329697
281328,2727610,1882277,806115249,652630,888827,859455,326698
281390,2727610,1882277,810742445,652630,888827,859455,326698
281428,2744980,1888583,814204293,656014,895823,863780,329363
281490,2744980,1888583,817602741,656014,895823,863780,329363
281628,2752276,1892559,818312251,658218,896410,866825,330823
281690,2752276,1892559,821080585,658218,896410,866825,330823
281728,2685424,1859136,785055062,642543,874985,846186,321710
281790,2685424,1859136,792489903,642543,874985,846186,321710
281828,2781859,1901815,832697035,665522,906707,876154,333476
281890,2781859,1901815,833076835,665522,906707,876154,333476
281928,2774645,1898940,829298881,663712,904472,873548,332913
281990,2774645,1898940,830225485,663712,904472,873548,332913
282028,2782147,1902133,833038224,665665,906641,876323,333518
282090,2782147,1902133,833347955,665665,906641,876323,333518
282128,2759981,1892626,821640538,660032,900166,869183,330600
282190,2759981,1892626,823773115,660032,900166,869183,330600
282428,2777554,1900051,830487274,664307,905474,874790,332983
282490,2777554,1900051,831231928,664307,905474,874790,332983
282528,2785887,1903555,834920914,666648,907680,877404,334155
282590,2785887,1903555,834920914,666648,907680,877404,334155
282628,2755657,1892784,819155600,658697,899067,868180,329713
282690,2755657,1892784,821922764,658697,899067,868180,329713
282728,2775824,1899782,829628645,663951,904904,874184,332785
282790,2775824,1899782,830594845,663951,904904,874184,332785
283028,2770508,1897447,826723661,662309,903601,872700,331898
283090,2770508,1897447,828147605,662309,903601,872700,331898
